,mean_rank
JCB-PRM,12.2
COVIDhub-ensemble,13.1
UMass-MechBayes,14.4
SteveMcConnell-CovidComplete,14.5
Karlen-pypm,14.6
MIT_CritData-GBCF,14.8
YYG-ParamSearch,15.1
USC-SI_kJalpha,15.1
OliverWyman-Navigator,16.2
GT-DeepCOVID,16.8
CMU-TimeSeries,16.9
Covid19Sim-Simulator,17.4
LNQ-ens1,17.7
CEID-Walk,17.8
COVIDhub-baseline,18.2
DDS-NBDS,18.5
JHU_IDD-CovidSP,18.5
NotreDame-mobility,18.6
PSI-DRAFT,19.0
UCLA-SuEIR,19.5
LANL-GrowthRate,19.9
MOBS-GLEAM_COVID,20.4
UA-EpiCovDA,20.5
IHME-CurveFit,21.3
IowaStateLW-STEM,21.3
CovidAnalytics-DELPHI,21.5
Columbia_UNC-SurvCon,21.7
JHUAPL-Bucky,21.7
CU-select,21.9
UCSD_NEU-DeepGLEAM,22.1
Google_Harvard-CPF,22.1
UT-Mobility,23.0
USACE-ERDC_SEIR,24.4
UMich-RidgeTfReg,24.6
MITCovAlliance-SIR,25.0
WalmartLabsML-LogForecasting,26.1
epiforecasts-ensemble1,26.5
RobertWalraven-ESG,28.3
