,actual_cases,COVIDhub-baseline,COVIDhub-ensemble,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Geneva-DetGrowth,IHME-CurveFit,IowaStateLW-STEM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Geneva-DetGrowth,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-COVIDhub-ensemble,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Geneva-DetGrowth,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Alabama,36402,51584.0,49387.0,,67707.3,66150.0,31319.1,14134.1,74054.1,52172.0,49676.9,99180.9,30357.1,43938.7,53306.0,,35765.0,56053.3,81462.4,30913.9,41022.0,15182.0,12985.0,,31305.3,29748.0,-5082.9,-22267.9,37652.1,15770.0,13274.9,62778.9,-6044.9,7536.7,16904.0,,-637.0,19651.3,45060.4,-5488.1,4620.0,True,,False,False,True,False,False,False,True,False,True,True,False,,True,False,False,True,True
Alaska,2338,2172.0,2953.0,,2942.4,1990.0,1406.8,523.9,27.4,,4344.7,3156.0,3504.6,3291.5,2526.0,,1745.3,3157.6,,7314.1,4088.0,-166.0,615.0,,604.4,-348.0,-931.2,-1814.1,-2310.6,,2006.7,818.0,1166.6,953.5,188.0,,-592.7,819.6,,4976.1,1750.0,False,,False,False,False,False,False,,False,False,False,False,False,,False,False,,False,False
Arizona,37854,75104.0,58604.0,,101769.8,71111.0,55618.7,20805.2,93067.7,61608.0,47977.3,72603.1,44635.1,66743.2,46510.0,,53724.1,59931.2,118526.9,51318.5,43634.0,37250.0,20750.0,,63915.8,33257.0,17764.7,-17048.8,55213.7,23754.0,10123.3,34749.1,6781.1,28889.2,8656.0,,15870.1,22077.2,80672.9,13464.5,5780.0,True,,False,True,True,True,False,True,True,True,True,True,True,,True,True,False,True,True
Arkansas,18618,21792.0,20616.0,,22977.2,21942.0,12715.8,5706.4,18521.2,24340.0,23665.5,34525.9,15751.5,20124.0,17714.0,,,17086.9,33395.7,20359.2,19467.0,3174.0,1998.0,,4359.2,3324.0,-5902.2,-12911.6,-96.8,5722.0,5047.5,15907.9,-2866.5,1506.0,-904.0,,,-1531.1,14777.7,1741.2,849.0,True,,False,False,False,False,True,False,False,False,True,True,True,,,True,False,True,True
California,217983,262828.0,272113.0,,358013.9,294220.0,132632.9,63420.2,429269.0,262938.0,326668.2,544082.9,130440.9,224140.4,226000.0,,310660.8,279250.0,402125.7,170230.4,208186.0,44845.0,54130.0,,140030.9,76237.0,-85350.1,-154562.8,211286.0,44955.0,108685.2,326099.9,-87542.1,6157.4,8017.0,,92677.8,61267.0,184142.7,-47752.6,-9797.0,False,,False,False,False,False,False,False,False,False,False,True,True,,False,False,False,False,True
Colorado,11093,16004.0,20227.0,,20054.5,4401.0,9206.0,4440.7,32352.4,11413.0,23938.1,40293.2,13437.5,20444.5,23452.0,,53623.6,30092.4,,31087.1,16581.0,4911.0,9134.0,,8961.5,-6692.0,-1887.0,-6652.3,21259.4,320.0,12845.1,29200.2,2344.5,9351.5,12359.0,,42530.6,18999.4,,19994.1,5488.0,False,,False,False,True,False,False,True,False,False,True,False,False,,False,False,,False,False
Connecticut,2755,3532.0,2119.0,,1711.1,109.0,1306.5,954.1,11958.2,1960.0,6013.2,1750.9,2324.9,2539.4,4996.0,,1535.3,4949.5,,3765.0,4194.0,777.0,-636.0,,-1043.9,-2646.0,-1448.5,-1800.9,9203.2,-795.0,3258.2,-1004.1,-430.1,-215.6,2241.0,,-1219.7,2194.5,,1010.0,1439.0,True,,False,False,False,False,False,False,False,False,True,True,False,,False,False,,False,False
Delaware,2653,2984.0,2842.0,,4057.6,492.0,3447.1,1186.4,1353.8,1587.0,3460.9,3986.0,2146.7,3207.8,2844.0,,1981.7,3418.3,,3075.8,2664.0,331.0,189.0,,1404.6,-2161.0,794.1,-1466.6,-1299.2,-1066.0,807.9,1333.0,-506.3,554.8,191.0,,-671.3,765.3,,422.8,11.0,True,,False,False,False,False,False,False,False,False,False,False,True,,False,False,,False,True
District of Columbia,1817,2092.0,1623.0,,1691.1,456.0,1581.4,512.3,4026.6,1289.0,2277.3,5078.7,1291.9,2521.7,2675.0,,1314.1,3208.3,,2732.1,2402.0,275.0,-194.0,,-125.9,-1361.0,-235.6,-1304.7,2209.6,-528.0,460.3,3261.7,-525.1,704.7,858.0,,-502.9,1391.3,,915.1,585.0,True,,True,False,True,False,False,False,False,False,False,False,False,,False,False,,False,False
Florida,183086,307768.0,267642.0,,496948.3,276570.0,170001.9,77893.5,369363.7,268250.0,206196.8,461595.2,229417.3,263425.3,259826.0,,277298.0,244808.2,526827.5,243746.1,167205.0,124682.0,84556.0,,313862.3,93484.0,-13084.1,-105192.5,186277.7,85164.0,23110.8,278509.2,46331.3,80339.3,76740.0,,94212.0,61722.2,343741.5,60660.1,-15881.0,True,,False,True,True,True,False,True,True,False,True,True,True,,True,True,False,True,True
