,mean_rank
COVIDhub-ensemble,10.1
CU-select,10.3
OliverWyman-Navigator,11.3
MSRA-DeepST,11.3
CEID-Walk,11.9
JHU_CSSE-DECOM,12.1
COVIDhub-baseline,12.2
LNQ-ens1,12.4
IowaStateLW-STEM,12.4
UChicagoCHATTOPADHYAY-UnIT,13.0
LANL-GrowthRate,13.4
JCB-PRM,13.7
UVA-Ensemble,13.9
USACE-ERDC_SEIR,14.0
JHU_UNC_GAS-StatMechPool,14.8
Google_Harvard-CPF,14.8
IQVIA_ACOE-STAN,14.9
DDS-NBDS,15.6
UCSB-ACTS,15.9
BPagano-RtDriven,16.1
USC-SI_kJalpha,16.2
RobertWalraven-ESG,16.4
Karlen-pypm,16.9
JHUAPL-Bucky,17.1
UCLA-SuEIR,18.6
JHU_IDD-CovidSP,19.8
UMich-RidgeTfReg,19.9
TTU-squider,21.2
CovidAnalytics-DELPHI,24.8
