,mean_abs_error_2020-07-13_2020-09-05,mean_abs_error_2020-07-20_2020-09-05,mean_abs_error_2020-07-27_2020-09-05,mean_abs_error_2020-08-03_2020-09-05,mean_abs_error_2020-08-10_2020-09-05,mean_abs_error_2020-08-17_2020-09-05,mean_abs_error_2020-08-24_2020-09-05,mean_abs_error_2020-08-31_2020-09-05,mean_sq_abs_error_2020-07-13_2020-09-05,mean_sq_abs_error_2020-07-20_2020-09-05,mean_sq_abs_error_2020-07-27_2020-09-05,mean_sq_abs_error_2020-08-03_2020-09-05,mean_sq_abs_error_2020-08-10_2020-09-05,mean_sq_abs_error_2020-08-17_2020-09-05,mean_sq_abs_error_2020-08-24_2020-09-05,mean_sq_abs_error_2020-08-31_2020-09-05
COVIDhub-baseline,409.7,425.2,347.9,275.4,173.2,134.5,67.2,30.5,6232545.8,7041675.5,4550936.3,3084052.0,640567.2,470514.5,104494.5,11652.5
LNQ-ens1,,,,,128.7,93.4,54.7,26.3,,,,,241436.8,125076.8,31090.1,8397.0
USC-SI_kJalpha,725.1,693.6,322.4,255.3,159.4,145.9,77.0,36.8,8716895.0,6008592.3,2700321.6,1601385.6,557587.9,532674.6,128347.1,24144.8
UCLA-SuEIR,,,409.0,317.2,185.2,133.8,73.3,31.1,,,7121416.8,2356209.8,667890.3,429204.4,104506.9,12391.0
COVIDhub-ensemble,,,,,139.7,98.2,57.0,27.5,,,,,333129.1,182809.4,42702.7,7783.9
LANL-GrowthRate,,737.7,435.5,314.5,198.0,139.7,69.0,32.3,,33415062.9,6751039.4,2805595.5,594999.7,447558.6,33048.7,10075.5
CEID-Walk,,,,,170.2,137.0,67.8,31.3,,,,,599785.7,491086.0,107514.8,12433.2
OliverWyman-Navigator,,,,,,123.6,62.4,31.8,,,,,,566270.0,52385.7,9727.9
IowaStateLW-STEM,1115.6,661.3,465.3,316.4,,138.7,98.9,41.7,28637168.7,86095057.1,8184704.5,3488509.1,,304159.4,243708.9,50202.0
JHU_IDD-CovidSP,,,,347.2,224.4,142.2,77.6,36.2,,,,1609228.8,706303.2,173839.7,46296.8,10601.2
RobertWalraven-ESG,,,,,403.3,128.0,80.4,47.8,,,,,12970933.0,193249.8,65158.7,23573.5
CU-select,,,582.7,434.5,241.6,226.0,82.3,34.5,,,13267897.7,9551112.6,1045344.6,2169319.4,109358.3,13099.8
JHUAPL-Bucky,,,,,,,,33.8,,,,,,,,11634.3
Yu_Group-CLEP,,,,,,747.2,,44.1,,,,,,15973455.5,,15864.8
MITCovAlliance-SIR,,,,,,156.7,,53.4,,,,,,523411.0,,43306.0
UVA-Ensemble,,,,,,,90.6,81.4,,,,,,,182265.1,282256.7
PandemicCentral-USCounty,,,,,,,116.1,51.5,,,,,,,448723.6,49179.4
