,actual_deaths,Baseline,Baseline_0.98,Auquan-SEIR,COVIDhub-ensemble,CU-select,Covid19Sim-Simulator,CovidActNow-SEIR_CAN,GT-DeepCOVID,GT_CHHS-COVID19,IHME-CurveFit,IowaStateLW-STEM,JHU_IDD-CovidSP,LANL-GrowthRate,MIT_CovidAnalytics-DELPHI,MOBS_NEU-GLEAM_COVID,NotreDame-FRED,PSI-DRAFT,SWC-TerminusCM,UA-EpiCovDA,UCLA-SuEIR,UMass-MechBayes,USACE-ERDC_SEIR,UT-Mobility,YYG-ParamSearch,error-Baseline,error-Baseline_0.98,error-Auquan-SEIR,error-COVIDhub-ensemble,error-CU-select,error-Covid19Sim-Simulator,error-CovidActNow-SEIR_CAN,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-MIT_CovidAnalytics-DELPHI,error-MOBS_NEU-GLEAM_COVID,error-NotreDame-FRED,error-PSI-DRAFT,error-SWC-TerminusCM,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UMass-MechBayes,error-USACE-ERDC_SEIR,error-UT-Mobility,error-YYG-ParamSearch,beat_baseline-Auquan-SEIR,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidActNow-SEIR_CAN,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-MIT_CovidAnalytics-DELPHI,beat_baseline-MOBS_NEU-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-PSI-DRAFT,beat_baseline-SWC-TerminusCM,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-USACE-ERDC_SEIR,beat_baseline-UT-Mobility,beat_baseline-YYG-ParamSearch
Alabama,919,934.7,867.2,1013.0,1020.7,1524.0,764.2,1003.3,,,753.8,690.0,1216.7,882.6,1044.0,848.0,,926.0,766.0,1382.0,890.3,921.0,1001.0,957.8,984.7,15.7,-51.8,94.0,101.7,605.0,-154.8,84.3,,,-165.2,-229.0,297.7,-36.4,125.0,-71.0,,7.0,-153.0,463.0,-28.7,2.0,82.0,38.8,65.7,False,False,False,False,False,,,False,False,False,False,False,False,,True,False,False,False,True,False,False,False
Alaska,14,10.0,10.0,18.0,13.2,10.0,11.2,19.0,120.2,,10.4,,35.2,13.2,9.0,10.5,,10.0,,16.0,11.0,12.0,9.5,9.7,10.9,-4.0,-4.0,4.0,-0.8,-4.0,-2.8,5.0,106.2,,-3.6,,21.2,-0.8,-5.0,-3.5,,-4.0,,2.0,-3.0,-2.0,-4.5,-4.3,-3.1,False,True,False,True,False,False,,True,,False,True,False,True,,False,,True,True,True,False,False,True
Arizona,1580,1315.9,1225.3,1431.0,1530.7,1533.0,1012.4,1687.7,,,1496.4,1330.0,1754.4,1543.7,1523.0,1503.3,,1526.0,1345.0,1993.0,1431.9,1714.0,1494.9,1267.5,1522.7,-264.1,-354.7,-149.0,-49.3,-47.0,-567.6,107.7,,,-83.6,-250.0,174.4,-36.3,-57.0,-76.7,,-54.0,-235.0,413.0,-148.1,134.0,-85.1,-312.5,-57.3,True,True,True,False,True,,,True,True,True,True,True,True,,True,True,False,True,True,True,False,True
Arkansas,259,198.6,184.1,245.0,228.4,298.0,189.1,207.5,251.7,,255.3,218.0,367.3,215.8,154.0,190.9,,199.0,160.0,571.0,205.6,290.0,211.5,177.8,203.1,-60.4,-74.9,-14.0,-30.6,39.0,-69.9,-51.5,-7.3,,-3.7,-41.0,108.3,-43.2,-105.0,-68.1,,-60.0,-99.0,312.0,-53.4,31.0,-47.5,-81.2,-55.9,True,True,True,False,True,True,,True,True,False,True,False,False,,True,False,False,True,True,True,False,True
California,5899,5788.1,5430.3,6409.0,6625.5,9557.0,4910.4,7455.8,5616.2,,7710.5,6313.0,8392.1,5486.3,6026.0,5649.3,,5924.0,5043.0,6531.0,6175.4,6701.0,6698.0,5390.6,5847.2,-110.9,-468.7,510.0,726.5,3658.0,-988.6,1556.8,-282.8,,1811.5,414.0,2493.1,-412.7,127.0,-249.7,,25.0,-856.0,632.0,276.4,802.0,799.0,-508.4,-51.8,False,False,False,False,False,False,,False,False,False,False,False,False,,True,False,False,False,False,False,False,True
Colorado,1674,1880.9,1784.3,2163.0,1849.2,1652.0,1558.0,1844.3,2042.4,,2392.4,1886.0,2074.3,1921.8,1724.0,1835.3,,1888.5,1791.0,2297.0,1983.1,1880.0,1689.0,1672.5,1995.6,206.9,110.3,489.0,175.2,-22.0,-116.0,170.3,368.4,,718.4,212.0,400.3,247.8,50.0,161.3,,214.5,117.0,623.0,309.1,206.0,15.0,-1.5,321.6,False,True,True,True,True,False,,False,False,False,False,True,True,,False,True,False,False,True,True,True,False
Connecticut,4311,4912.1,4697.8,4903.0,4462.0,4441.0,4273.8,4519.9,,,4217.5,4319.0,4569.8,4282.4,4353.0,4576.3,,4512.5,4191.0,4084.0,4696.8,4382.0,4067.9,4363.0,4533.4,601.1,386.8,592.0,151.0,130.0,-37.2,208.9,,,-93.5,8.0,258.8,-28.6,42.0,265.3,,201.5,-120.0,-227.0,385.8,71.0,-243.1,52.0,222.4,True,True,True,True,True,,,True,True,True,True,True,True,,True,True,True,True,True,True,True,True
Delaware,507,520.3,486.1,579.0,487.1,528.0,397.5,553.3,462.2,,406.3,445.0,551.9,430.8,459.0,489.0,,545.0,422.0,464.0,459.2,446.0,418.3,475.8,503.4,13.3,-20.9,72.0,-19.9,21.0,-109.5,46.3,-44.8,,-100.7,-62.0,44.9,-76.2,-48.0,-18.0,,38.0,-85.0,-43.0,-47.8,-61.0,-88.7,-31.2,-3.6,False,False,False,False,False,False,,False,False,False,False,False,False,,False,False,False,False,False,False,False,True
District of Columbia,548,597.1,568.1,673.0,588.3,,498.4,663.2,706.3,,558.5,656.0,603.5,554.1,581.0,,,556.0,557.0,554.0,679.3,541.0,525.3,531.0,576.7,49.1,20.1,125.0,40.3,,-49.6,115.2,158.3,,10.5,108.0,55.5,6.1,33.0,,,8.0,9.0,6.0,131.3,-7.0,-22.7,-17.0,28.7,False,True,,False,False,False,,True,False,False,True,True,,,True,True,True,False,True,True,True,True
Florida,3390,3276.4,3093.7,3465.0,3362.7,3720.0,2678.4,2952.7,3494.7,,3123.7,3209.0,4518.9,3153.1,2931.0,3031.8,,3508.0,2991.0,4154.0,3577.8,3452.0,2930.2,3116.0,3373.6,-113.6,-296.3,75.0,-27.3,330.0,-711.6,-437.3,104.7,,-266.3,-181.0,1128.9,-236.9,-459.0,-358.2,,118.0,-399.0,764.0,187.8,62.0,-459.8,-274.0,-16.4,True,True,False,False,False,True,,False,False,False,False,False,False,,False,False,False,False,True,False,False,True
