,actual_deaths,Baseline,Baseline_0.98,CU-select,IHME-CurveFit,LANL-GrowthRate,MIT_CovidAnalytics-DELPHI,NotreDame-FRED,UCLA-SuEIR,UChicago-CovidIL,UChicago-CovidIL_100,UChicago-CovidIL_40,UChicago-CovidIL_60,UChicago-CovidIL_80,YYG-ParamSearch,error-Baseline,error-CU-select,error-IHME-CurveFit,error-LANL-GrowthRate,error-MIT_CovidAnalytics-DELPHI,error-NotreDame-FRED,error-UCLA-SuEIR,error-UChicago-CovidIL,error-UChicago-CovidIL_100,error-UChicago-CovidIL_40,error-UChicago-CovidIL_60,error-UChicago-CovidIL_80,error-YYG-ParamSearch,beat_baseline-CU-select,beat_baseline-IHME-CurveFit,beat_baseline-LANL-GrowthRate,beat_baseline-MIT_CovidAnalytics-DELPHI,beat_baseline-NotreDame-FRED,beat_baseline-UCLA-SuEIR,beat_baseline-UChicago-CovidIL,beat_baseline-UChicago-CovidIL_100,beat_baseline-UChicago-CovidIL_40,beat_baseline-UChicago-CovidIL_60,beat_baseline-UChicago-CovidIL_80,beat_baseline-YYG-ParamSearch
Alabama,773,893.3,758.5,1182.0,970.9,714.1,632.0,,645.8,,,,,,872.5,120.3,409.0,197.9,-58.9,-141.0,,-127.2,,,,,,99.5,False,False,True,False,,False,,,,,,True
Alaska,12,14.9,13.5,16.0,5.0,10.6,9.0,,13.2,,,,,,13.6,2.9,4.0,-7.0,-1.4,-3.0,,1.2,,,,,,1.6,False,False,True,False,,True,,,,,,True
Arizona,1189,1381.1,1153.5,1049.0,1544.6,958.9,1070.0,,908.3,,,,,,1475.7,192.1,-140.0,355.6,-230.1,-119.0,,-280.7,,,,,,286.7,True,False,False,True,,False,,,,,,False
Arkansas,177,163.9,144.2,123.0,161.0,180.6,142.0,,177.5,,,,,,189.6,-13.1,-54.0,-16.0,3.6,-35.0,,0.5,,,,,,12.6,False,False,True,False,,True,,,,,,True
California,5076,5144.6,4490.5,5161.0,4902.2,3931.5,4898.0,,5186.0,,,,,,4495.9,68.6,85.0,-173.8,-1144.5,-178.0,,110.0,,,,,,-580.1,False,False,False,False,,False,,,,,,False
Colorado,1597,1597.6,1428.8,2213.0,1512.1,1422.1,1830.0,,1549.8,,,,,,1661.9,0.6,616.0,-84.9,-174.9,233.0,,-47.2,,,,,,64.9,False,False,False,False,,False,,,,,,False
Connecticut,4186,5546.1,4851.5,4077.0,4310.3,4288.2,4263.0,,4092.7,,,,,,4426.9,1360.1,-109.0,124.3,102.2,77.0,,-93.3,,,,,,240.9,True,True,True,True,,True,,,,,,True
Delaware,419,434.7,377.2,587.0,374.9,368.6,412.0,,388.4,,,,,,447.1,15.7,168.0,-44.1,-50.4,-7.0,,-30.6,,,,,,28.1,False,False,False,True,,False,,,,,,False
District of Columbia,511,672.7,578.5,,514.1,603.3,729.0,,502.2,,,,,,607.3,161.7,,3.1,92.3,218.0,,-8.8,,,,,,96.3,,True,True,False,,True,,,,,,True
Florida,2925,3382.1,2934.8,4296.0,3634.0,2653.6,2399.0,,2445.9,,,,,,3037.2,457.1,1371.0,709.0,-271.4,-526.0,,-479.1,,,,,,112.2,False,False,True,False,,False,,,,,,True
Georgia,2447,2484.3,2193.9,2239.0,2866.6,2231.0,1842.0,,2386.7,,,,,,2427.6,37.3,-208.0,419.6,-216.0,-605.0,,-60.3,,,,,,-19.4,False,False,False,False,,False,,,,,,True
Hawaii,17,17.0,17.0,20.0,19.0,17.8,21.0,,22.9,,,,,,26.3,0.0,3.0,2.0,0.8,4.0,,5.9,,,,,,9.3,False,False,False,False,,False,,,,,,False
Idaho,87,81.6,77.6,121.0,75.1,88.1,84.0,,98.9,,,,,,87.7,-5.4,34.0,-11.9,1.1,-3.0,,11.9,,,,,,0.7,False,False,True,True,,False,,,,,,True
Illinois,6289,7233.4,6202.6,6359.0,6457.6,5039.2,8047.0,7796.0,5779.5,6352.9,6352.9,6384.1,6339.9,6365.0,7395.9,944.4,70.0,168.6,-1249.8,1758.0,1507.0,-509.5,63.9,63.9,95.1,50.9,76.0,1106.9,True,True,False,False,False,True,True,True,True,True,True,False
Indiana,2413,3334.3,2842.4,3106.0,3177.3,2319.7,2799.0,4583.5,2390.8,,,,,,3432.7,921.3,693.0,764.3,-93.3,386.0,2170.5,-22.2,,,,,,1019.7,True,True,True,True,False,True,,,,,,False
Iowa,650,658.4,552.5,950.0,639.6,396.7,1203.0,,1018.5,,,,,,870.0,8.4,300.0,-10.4,-253.3,553.0,,368.5,,,,,,220.0,False,False,False,False,,False,,,,,,False
Kansas,245,319.7,280.5,447.0,311.0,236.3,760.0,,520.7,,,,,,284.9,74.7,202.0,66.0,-8.7,515.0,,275.7,,,,,,39.9,False,True,True,False,,False,,,,,,True
Kentucky,499,551.7,485.0,471.0,578.6,396.8,615.0,503.5,585.6,,,,,,502.7,52.7,-28.0,79.6,-102.2,116.0,4.5,86.6,,,,,,3.7,True,False,False,False,True,False,,,,,,True
Louisiana,3004,3616.9,3258.4,2856.0,3115.3,2874.2,2451.0,,3191.3,,,,,,3174.8,612.9,-148.0,111.3,-129.8,-553.0,,187.3,,,,,,170.8,True,True,True,True,,True,,,,,,True
Maine,100,98.0,88.8,181.0,87.3,130.4,111.0,,103.3,,,,,,104.8,-2.0,81.0,-12.7,30.4,11.0,,3.3,,,,,,4.8,False,False,False,False,,False,,,,,,False
Maryland,2926,3407.1,2932.3,3040.0,2439.1,3047.8,4263.0,,2674.3,,,,,,2936.6,481.1,114.0,-486.9,121.8,1337.0,,-251.7,,,,,,10.6,True,False,True,False,,True,,,,,,True
Massachusetts,7576,9714.7,8439.3,7735.0,7325.9,7021.5,9834.0,,6905.0,,,,,,7983.5,2138.7,159.0,-250.1,-554.5,2258.0,,-671.0,,,,,,407.5,True,True,True,False,,True,,,,,,True
