,actual_deaths,Baseline,Baseline_0.98,IHME-CurveFit,LANL-GrowthRate,error-Baseline,error-IHME,error-LANL,beat_baseline-IHME,beat_baseline-LANL
Alabama,689,595.9,440.8,290.0,349.3,-93.1,-399.0,-339.7,False,False
Alaska,10,15.9,13.4,16.5,12.7,5.9,6.5,2.7,False,True
Arizona,1043,588.6,445.6,476.8,607.5,-454.4,-566.2,-435.5,False,True
Arkansas,154,121.3,92.2,129.6,63.5,-32.7,-24.4,-90.5,True,False
California,4607,4859.3,3558.3,1743.4,4092.0,252.3,-2863.6,-515.0,False,False
Colorado,1527,1318.3,1000.9,648.7,1177.5,-208.7,-878.3,-349.5,False,False
Connecticut,4055,5056.1,3667.9,2884.0,2367.5,1001.1,-1171.0,-1687.5,False,False
Delaware,390,286.4,208.9,135.9,144.3,-103.6,-254.1,-245.7,False,False
District of Columbia,483,411.4,300.0,213.1,283.4,-71.6,-269.9,-199.6,False,False
Florida,2688,2920.3,2162.0,1536.3,1817.5,232.3,-1151.7,-870.5,False,False
Georgia,2178,2428.7,1813.3,1977.4,1631.7,250.7,-200.6,-546.3,True,False
Hawaii,17,16.9,14.4,26.1,15.5,-0.1,9.1,-1.5,False,False
Idaho,83,160.6,119.4,61.2,62.2,77.6,-21.8,-20.8,True,True
Illinois,5864,5198.6,3817.6,2093.0,3643.8,-665.4,-3771.0,-2220.2,False,False
Indiana,2292,2063.7,1533.1,930.5,1759.9,-228.3,-1361.5,-532.1,False,False
Iowa,599,308.1,225.8,434.1,504.7,-290.9,-164.9,-94.3,True,True
Kansas,233,346.7,257.1,271.4,179.6,113.7,38.4,-53.4,True,True
Kentucky,470,482.0,363.3,466.1,425.3,12.0,-3.9,-44.7,True,False
Louisiana,2925,4422.9,3318.1,1703.8,1739.7,1497.9,-1221.2,-1185.3,True,True
Maine,98,136.9,100.5,53.3,60.7,38.9,-44.7,-37.3,False,True
Maryland,2740,2003.9,1458.7,1111.5,1455.1,-736.1,-1628.5,-1284.9,False,False
Massachusetts,7289,8220.3,5918.7,3897.9,6179.0,931.3,-3391.1,-1110.0,False,False
Michigan,5916,9127.0,6803.6,3361.2,4043.7,3211.0,-2554.8,-1872.3,True,True
Minnesota,1181,572.9,417.8,301.3,546.0,-608.1,-879.7,-635.0,False,False
Mississippi,811,591.0,438.4,398.5,412.9,-220.0,-412.5,-398.1,False,False
Missouri,848,824.9,618.9,385.5,336.0,-23.1,-462.5,-512.0,False,False
Montana,18,37.4,27.7,14.2,12.4,19.4,-3.8,-5.6,True,True
Nebraska,187,103.4,76.8,236.0,183.3,-83.6,49.0,-3.7,True,True
Nevada,437,473.4,362.0,240.0,317.8,36.4,-197.0,-119.2,False,False
New Hampshire,283,140.9,104.5,70.3,133.0,-142.1,-212.7,-150.0,False,False
New Jersey,12106,18158.6,13284.0,7116.0,13143.0,6052.6,-4990.0,1037.0,True,True
New Mexico,392,253.9,183.6,104.7,158.2,-138.1,-287.3,-233.8,False,False
New York,30280,53827.7,41374.8,23741.0,42292.1,23547.7,-6539.0,12012.1,True,True
North Carolina,1028,961.1,692.2,309.8,774.7,-66.9,-718.2,-253.3,False,False
North Dakota,72,22.7,17.9,247.8,28.1,-49.3,175.8,-43.9,False,True
Ohio,2372,1965.9,1437.7,770.6,3978.7,-406.1,-1601.4,1606.7,False,False
Oklahoma,347,441.7,335.1,305.9,251.3,94.7,-41.1,-95.7,True,False
Oregon,161,224.9,171.6,120.3,152.4,63.9,-40.7,-8.6,True,True
Pennsylvania,5931,6206.3,4464.3,2323.2,4514.7,275.3,-3607.8,-1416.3,False,False
Rhode Island,772,746.6,535.8,577.8,614.9,-25.4,-194.2,-157.1,False,False
South Carolina,539,380.6,288.5,261.2,263.7,-158.4,-277.8,-275.3,False,False
South Dakota,65,13.9,11.4,94.7,40.5,-51.1,29.7,-24.5,True,True
Tennessee,417,436.0,334.2,234.7,353.9,19.0,-182.3,-63.1,False,False
Texas,1833,1909.4,1407.9,1165.7,1262.5,76.4,-667.3,-570.5,False,False
Utah,121,88.7,66.9,221.2,58.3,-32.3,100.2,-62.7,False,False
Vermont,55,113.4,86.8,42.8,46.9,58.4,-12.2,-8.1,True,True
Virginia,1461,1209.6,880.1,771.3,1120.3,-251.4,-689.7,-340.7,False,False
Washington,1153,1527.4,1212.5,779.2,999.4,374.4,-373.8,-153.6,True,True
West Virginia,84,100.3,71.2,34.5,35.5,16.3,-49.5,-48.5,False,False
Wisconsin,645,741.1,557.0,340.3,505.1,96.1,-304.7,-139.9,False,False
Wyoming,17,15.7,10.9,243.4,2.6,-1.3,226.4,-14.4,False,False
US,110124,143388.0,107264.8,65914.1,,33264.0,-44209.9,,False,False
