,actual_deaths,Baseline,Baseline_0.98,Auquan-SEIR,COVIDhub-baseline,COVIDhub-ensemble,CU-select,GT-DeepCOVID,IHME-CurveFit,IowaStateLW-STEM,JHU_IDD-CovidSP,LANL-GrowthRate,MIT_CovidAnalytics-DELPHI,MOBS_NEU-GLEAM_COVID,NotreDame-FRED,PSI-DRAFT,UCLA-SuEIR,UChicago-CovidIL,UChicago-CovidIL_100,UChicago-CovidIL_10_increase,UChicago-CovidIL_30_increase,UMass-MechBayes,USACE-ERDC_SEIR,UT-Mobility,YYG-ParamSearch,error-Baseline,error-Baseline_0.98,error-Auquan-SEIR,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-GT-DeepCOVID,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-MIT_CovidAnalytics-DELPHI,error-MOBS_NEU-GLEAM_COVID,error-NotreDame-FRED,error-PSI-DRAFT,error-UCLA-SuEIR,error-UChicago-CovidIL,error-UChicago-CovidIL_100,error-UChicago-CovidIL_10_increase,error-UChicago-CovidIL_30_increase,error-UMass-MechBayes,error-USACE-ERDC_SEIR,error-UT-Mobility,error-YYG-ParamSearch,beat_baseline-Auquan-SEIR,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-GT-DeepCOVID,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-MIT_CovidAnalytics-DELPHI,beat_baseline-MOBS_NEU-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-PSI-DRAFT,beat_baseline-UCLA-SuEIR,beat_baseline-UChicago-CovidIL,beat_baseline-UChicago-CovidIL_100,beat_baseline-UChicago-CovidIL_10_increase,beat_baseline-UChicago-CovidIL_30_increase,beat_baseline-UMass-MechBayes,beat_baseline-USACE-ERDC_SEIR,beat_baseline-UT-Mobility,beat_baseline-YYG-ParamSearch
Alabama,689,759.4,713.6,905.0,770.0,801.9,787.0,889.1,810.8,668.0,1422.7,642.6,707.0,862.9,,903.5,742.9,,,,,683.0,673.0,613.7,797.9,70.4,24.6,216.0,81.0,112.9,98.0,200.1,121.8,-21.0,733.7,-46.4,18.0,173.9,,214.5,53.9,,,,,-6.0,-16.0,-75.3,108.9,False,False,False,False,False,False,True,False,True,True,False,,False,True,,,,,True,True,False,False
Alaska,10,10.0,10.0,16.0,11.0,11.9,16.0,11.8,3.0,,29.5,10.2,9.0,11.1,,10.0,12.0,,,,,10.0,11.2,12.4,11.8,0.0,0.0,6.0,1.0,1.9,6.0,1.8,-7.0,,19.5,0.2,-1.0,1.1,,0.0,2.0,,,,,0.0,1.2,2.4,1.8,False,False,False,False,False,False,,False,False,False,False,,True,False,,,,,True,False,False,False
Arizona,1043,1091.4,1021.9,1139.0,1120.0,1176.8,1047.0,1603.3,1414.5,1099.0,3229.7,1056.8,1148.0,1081.3,,1502.0,1427.9,,,,,1174.0,1100.0,1015.0,1207.6,48.4,-21.1,96.0,77.0,133.8,4.0,560.3,371.5,56.0,2186.7,13.8,105.0,38.3,,459.0,384.9,,,,,131.0,57.0,-28.0,164.6,False,False,False,True,False,False,False,False,True,False,True,,False,False,,,,,False,False,True,False
Arkansas,154,118.0,114.6,189.0,128.0,155.6,180.0,148.4,114.6,126.0,348.0,151.2,133.0,146.7,,182.0,124.6,,,,,129.0,142.4,118.3,130.4,-36.0,-39.4,35.0,-26.0,1.6,26.0,-5.6,-39.4,-28.0,194.0,-2.8,-21.0,-7.3,,28.0,-29.4,,,,,-25.0,-11.6,-35.7,-23.6,True,True,True,True,True,False,True,False,True,True,True,,True,True,,,,,True,True,True,True
California,4607,4737.1,4484.1,5349.0,4771.5,4480.8,4500.0,4486.7,4685.9,4422.5,10555.9,4257.2,4650.0,4487.7,,4850.0,4503.5,,,,,4501.0,5001.4,4116.3,4564.5,130.1,-122.9,742.0,164.5,-126.2,-107.0,-120.3,78.9,-184.5,5948.9,-349.8,43.0,-119.3,,243.0,-103.5,,,,,-106.0,394.4,-490.7,-42.5,False,False,True,True,True,True,False,False,False,True,True,,False,True,,,,,True,False,False,True
Colorado,1527,1912.1,1794.3,1856.0,1867.0,1656.8,1555.0,1759.9,1689.9,1403.0,2284.7,1522.9,1640.0,1982.0,,1639.0,1470.3,,,,,1848.0,1592.9,1531.6,1767.6,385.1,267.3,329.0,340.0,129.8,28.0,232.9,162.9,-124.0,757.7,-4.1,113.0,455.0,,112.0,-56.7,,,,,321.0,65.9,4.6,240.6,True,True,True,True,True,True,True,False,True,True,False,,True,True,,,,,True,True,True,True
Connecticut,4055,4668.0,4455.0,4336.0,4561.7,4250.5,4144.0,4390.3,4386.2,3896.5,3592.2,4542.9,4029.0,4546.6,,4216.0,4235.2,,,,,4544.0,3812.0,3847.4,4280.2,613.0,400.0,281.0,506.7,195.5,89.0,335.3,331.2,-158.5,-462.8,487.9,-26.0,491.6,,161.0,180.2,,,,,489.0,-243.0,-207.6,225.2,True,True,True,True,True,True,True,True,True,True,True,,True,True,,,,,True,True,True,True
Delaware,390,487.1,453.8,504.0,481.0,461.9,487.0,576.5,445.8,407.0,646.4,404.1,405.0,495.4,,460.0,437.0,,,,,504.0,371.4,395.6,485.7,97.1,63.8,114.0,91.0,71.9,97.0,186.5,55.8,17.0,256.4,14.1,15.0,105.4,,70.0,47.0,,,,,114.0,-18.6,5.6,95.7,False,True,True,True,False,True,True,False,True,True,False,,True,True,,,,,False,True,True,True
District of Columbia,483,554.4,525.5,591.0,566.9,519.9,,460.8,525.9,521.0,599.1,490.1,623.0,,,538.0,490.2,,,,,516.0,481.6,458.7,546.8,71.4,42.5,108.0,83.9,36.9,,-22.2,42.9,38.0,116.1,7.1,140.0,,,55.0,7.2,,,,,33.0,-1.4,-24.3,63.8,False,False,True,,True,True,True,False,True,False,,,True,True,,,,,True,True,True,True
Florida,2688,2693.0,2571.3,3067.0,2710.9,2603.2,2637.0,,3038.2,2551.0,4178.3,2645.3,2406.0,2562.9,,2822.0,2472.6,,,,,2644.0,2307.9,2328.2,2670.8,5.0,-116.7,379.0,22.9,-84.8,-51.0,,350.2,-137.0,1490.3,-42.7,-282.0,-125.1,,134.0,-215.4,,,,,-44.0,-380.1,-359.8,-17.2,False,False,False,False,,False,False,False,False,False,False,,False,False,,,,,False,False,False,False
