,actual_cases,COVIDhub-baseline,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Geneva-DetGrowth,IBF-TimeSeries,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Geneva-DetGrowth,error-IBF-TimeSeries,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Geneva-DetGrowth,beat_baseline-IBF-TimeSeries,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Alabama,26880,23372.0,20939.9,18932.0,26049.0,,29434.3,14474.0,23215.5,5925.0,,12841.0,19212.0,14981.8,24028.3,15325.2,17192.6,20451.7,22761.1,18207.0,,8384.0,10371.3,15317.3,28183.5,17278.5,15956.0,-3508.0,-5940.1,-7948.0,-831.0,,2554.3,-12406.0,-3664.5,-20955.0,,-14039.0,-7668.0,-11898.2,-2851.7,-11554.8,-9687.4,-6428.3,-4118.9,-8673.0,,-18496.0,-16508.7,-11562.7,1303.5,-9601.5,-10924.0,False,False,True,,True,False,False,False,,False,False,False,True,False,False,False,False,False,,False,False,False,True,False,False
Alaska,3224,2120.0,2133.8,1997.0,3094.0,,2891.2,1618.0,2158.5,528.8,,,,2834.1,2502.8,2677.9,1439.8,1719.7,1806.6,1867.0,,1553.7,1802.4,1499.8,1937.8,2498.4,2283.0,-1104.0,-1090.2,-1227.0,-130.0,,-332.8,-1606.0,-1065.5,-2695.2,,,,-389.9,-721.2,-546.1,-1784.2,-1504.3,-1417.4,-1357.0,,-1670.3,-1421.6,-1724.2,-1286.2,-725.6,-941.0,True,False,True,,True,False,True,False,,,,True,True,True,False,False,False,False,,False,False,False,False,True,True
Arizona,16850,10444.0,9505.1,9251.0,12280.0,,12245.3,5859.0,9255.4,2387.0,,6209.0,12851.0,13229.2,10962.7,7929.1,3034.5,7718.0,10098.2,8110.0,,5871.1,0.0,13640.2,26472.7,8750.9,9271.0,-6406.0,-7344.9,-7599.0,-4570.0,,-4604.7,-10991.0,-7594.6,-14463.0,,-10641.0,-3999.0,-3620.8,-5887.3,-8920.9,-13815.5,-9132.0,-6751.8,-8740.0,,-10978.9,-16850.0,-3209.8,9622.7,-8099.1,-7579.0,False,False,True,,True,False,False,False,,False,True,True,True,False,False,False,False,False,,False,False,True,False,False,False
Arkansas,22510,20080.0,20182.3,17636.0,32092.0,,16754.3,17913.0,14125.3,4302.8,,10930.0,18749.0,27524.9,24187.6,9115.2,10952.0,16999.6,16264.2,22424.0,,13073.2,18427.0,16208.0,16366.1,26335.2,20087.0,-2430.0,-2327.7,-4874.0,9582.0,,-5755.7,-4597.0,-8384.7,-18207.2,,-11580.0,-3761.0,5014.9,1677.6,-13394.8,-11558.0,-5510.4,-6245.8,-86.0,,-9436.8,-4083.0,-6302.0,-6143.9,3825.2,-2423.0,True,False,False,,False,False,False,False,,False,False,False,True,False,False,False,False,True,,False,False,False,False,False,True
California,93477,94476.0,91108.2,86267.0,114988.0,,77348.3,91183.0,88219.0,16406.9,,52273.0,116914.0,63800.6,87760.6,85219.4,86239.5,53276.1,77928.2,51147.0,,38441.6,259230.3,87200.0,121131.2,57565.1,50364.0,999.0,-2368.8,-7210.0,21511.0,,-16128.7,-2294.0,-5258.0,-77070.1,,-41204.0,23437.0,-29676.4,-5716.4,-8257.6,-7237.5,-40200.9,-15548.8,-42330.0,,-55035.4,165753.3,-6277.0,27654.2,-35911.9,-43113.0,False,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False
Colorado,16742,7640.0,7332.1,7343.0,24397.0,,8046.5,777.0,7464.8,1887.9,,3908.0,7512.0,8156.3,7394.4,9284.6,4389.5,6610.7,9040.4,6778.0,,6904.4,13574.9,5195.4,9487.9,12160.4,8828.0,-9102.0,-9409.9,-9399.0,7655.0,,-8695.5,-15965.0,-9277.2,-14854.1,,-12834.0,-9230.0,-8585.7,-9347.6,-7457.4,-12352.5,-10131.3,-7701.6,-9964.0,,-9837.6,-3167.1,-11546.6,-7254.1,-4581.6,-7914.0,False,False,True,,True,False,False,False,,False,False,True,False,True,False,False,True,False,,False,True,False,True,True,True
Connecticut,5712,3844.0,3650.7,3051.0,18427.0,,2775.6,30.0,4493.0,1099.2,,1319.0,3561.0,2474.3,2536.5,4686.4,4198.9,1865.6,2919.7,2301.0,,432.0,0.0,5071.9,5822.6,2679.3,3282.0,-1868.0,-2061.3,-2661.0,12715.0,,-2936.4,-5682.0,-1219.0,-4612.8,,-4393.0,-2151.0,-3237.7,-3175.5,-1025.6,-1513.1,-3846.4,-2792.3,-3411.0,,-5280.0,-5712.0,-640.1,110.6,-3032.7,-2430.0,False,False,False,,False,False,True,False,,False,False,False,False,True,True,False,False,False,,False,False,True,True,False,False
Delaware,3272,3336.0,2832.6,2535.0,3713.0,,3847.5,17.0,2460.4,1012.9,,1495.0,1913.0,5087.6,2335.4,1464.3,1890.5,1994.1,2994.6,3282.0,,2762.4,989.5,2773.1,3073.4,3586.2,4538.0,64.0,-439.4,-737.0,441.0,,575.5,-3255.0,-811.6,-2259.1,,-1777.0,-1359.0,1815.6,-936.6,-1807.7,-1381.5,-1277.9,-277.4,10.0,,-509.6,-2282.5,-498.9,-198.6,314.2,1266.0,False,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False,True,,False,False,False,False,False,False
District of Columbia,1425,1020.0,988.7,1186.0,1281.0,,1174.5,72.0,1672.8,311.1,,453.0,1515.0,602.0,1284.0,1117.3,991.6,884.0,1229.6,835.0,,1220.0,1303.2,821.9,,1377.8,559.0,-405.0,-436.3,-239.0,-144.0,,-250.5,-1353.0,247.8,-1113.9,,-972.0,90.0,-823.0,-141.0,-307.7,-433.4,-541.0,-195.4,-590.0,,-205.0,-121.8,-603.1,,-47.2,-866.0,False,True,True,,True,False,True,False,,False,True,False,True,True,False,False,True,False,,True,True,False,,True,False
Florida,67350,70816.0,73788.4,55870.0,80416.0,,62024.3,30760.0,52794.7,17002.8,,37247.0,85268.0,79882.3,68211.0,49039.2,44754.8,50082.4,61730.4,51218.0,,33694.1,0.0,59617.5,95061.0,51196.2,52488.0,3466.0,6438.4,-11480.0,13066.0,,-5325.7,-36590.0,-14555.3,-50347.2,,-30103.0,17918.0,12532.3,861.0,-18310.8,-22595.2,-17267.6,-5619.6,-16132.0,,-33655.9,-67350.0,-7732.5,27711.0,-16153.8,-14862.0,False,False,False,,False,False,False,False,,False,False,False,True,False,False,False,False,False,,False,False,False,False,False,False
