,actual_cases,COVIDhub-baseline,COVIDhub-ensemble,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,Geneva-DetGrowth,IHME-CurveFit,IowaStateLW-STEM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-Geneva-DetGrowth,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-COVIDhub-ensemble,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-Geneva-DetGrowth,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Alabama,42346,53148.0,55774.0,,56047.1,53485.0,14044.3,42336.9,55818.0,34833.4,95459.2,44630.6,63994.7,68921.0,,60215.3,63706.2,76748.6,54139.6,42259.0,10802.0,13428.0,,13701.1,11139.0,-28301.7,-9.1,13472.0,-7512.6,53113.2,2284.6,21648.7,26575.0,,17869.3,21360.2,34402.6,11793.6,-87.0,False,,False,False,False,True,False,True,False,True,False,False,,False,False,False,False,True
Alaska,2360,1644.0,2014.0,,2511.0,1302.0,395.6,86.2,,2305.8,4733.0,1632.4,2335.0,1905.0,,1149.9,2446.7,,2581.9,11218.9,-716.0,-346.0,,151.0,-1058.0,-1964.4,-2273.8,,-54.2,2373.0,-727.6,-25.0,-455.0,,-1210.1,86.7,,221.9,8858.9,True,,True,False,False,False,,True,False,False,True,True,,False,True,,True,False
Arizona,51389,85340.0,73277.0,,137416.0,104164.0,22303.9,93281.8,82243.0,45643.5,87486.8,48798.5,91010.2,59760.0,,73494.9,70357.8,71703.2,54339.6,65088.0,33951.0,21888.0,,86027.0,52775.0,-29085.1,41892.8,30854.0,-5745.5,36097.8,-2590.5,39621.2,8371.0,,22105.9,18968.8,20314.2,2950.6,13699.0,True,,False,False,True,False,True,True,False,True,False,True,,True,True,True,True,True
Arkansas,19859,18676.0,17993.0,,20048.2,19050.0,4957.5,9526.2,22619.0,20942.9,36843.4,15350.1,22961.7,16763.0,,,14990.2,29903.5,16979.6,12916.7,-1183.0,-1866.0,,189.2,-809.0,-14901.5,-10332.8,2760.0,1083.9,16984.4,-4508.9,3102.7,-3096.0,,,-4868.8,10044.5,-2879.4,-6942.3,False,,True,True,False,False,False,True,False,False,False,False,,,False,False,False,False
California,237249,247936.0,229087.0,,332763.4,256711.0,62380.8,504091.1,264219.0,248490.8,598213.8,138062.2,271310.4,270307.0,,265702.6,266235.2,366808.5,115011.9,58009.0,10687.0,-8162.0,,95514.4,19462.0,-174868.2,266842.1,26970.0,11241.8,360964.8,-99186.8,34061.4,33058.0,,28453.6,28986.2,129559.5,-122237.1,-179240.0,True,,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False
Colorado,13049,12788.0,14755.0,,15870.9,3423.0,3764.7,10768.0,11817.0,14310.6,47599.4,9185.4,16476.9,18170.0,,27309.5,20573.3,7263.0,17329.7,11558.1,-261.0,1706.0,,2821.9,-9626.0,-9284.3,-2281.0,-1232.0,1261.6,34550.4,-3863.6,3427.9,5121.0,,14260.5,7524.3,-5786.0,4280.7,-1490.9,False,,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False
Connecticut,3004,2424.0,2236.0,,1431.3,141.0,575.3,3066.7,1495.0,8428.1,1748.8,1262.1,1735.1,2266.0,,1608.3,3525.2,,2060.7,1046.4,-580.0,-768.0,,-1572.7,-2863.0,-2428.7,62.7,-1509.0,5424.1,-1255.2,-1741.9,-1268.9,-738.0,,-1395.7,521.2,,-943.3,-1957.6,False,,False,False,False,True,False,False,False,False,False,False,,False,True,,False,False
Delaware,2994,2744.0,3023.0,,3479.1,617.0,717.3,1043.7,1518.0,4286.3,4673.6,2040.3,3441.4,2443.0,,2150.6,3868.1,1590.3,2635.4,5381.2,-250.0,29.0,,485.1,-2377.0,-2276.7,-1950.3,-1476.0,1292.3,1679.6,-953.7,447.4,-551.0,,-843.4,874.1,-1403.7,-358.6,2387.2,True,,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False
District of Columbia,1965,1572.0,1661.0,,982.3,517.0,429.0,4069.5,1676.0,2293.9,5990.8,1189.7,2093.4,1917.0,,832.1,1790.7,,2602.2,384.2,-393.0,-304.0,,-982.7,-1448.0,-1536.0,2104.5,-289.0,328.9,4025.8,-775.3,128.4,-48.0,,-1132.9,-174.3,,637.2,-1580.8,True,,False,False,False,False,True,True,False,False,True,True,,False,True,,False,False
Florida,232068,332232.0,324938.0,,551133.0,269123.0,73413.3,347863.2,474838.0,126390.0,543140.0,328341.9,357063.8,361858.0,,270740.3,293323.0,626378.2,249490.6,174042.4,100164.0,92870.0,,319065.0,37055.0,-158654.7,115795.2,242770.0,-105678.0,311072.0,96273.9,124995.8,129790.0,,38672.3,61255.0,394310.2,17422.6,-58025.6,True,,False,True,False,False,False,False,False,True,False,False,,True,True,False,True,True
