,mean_rank
Microsoft-DeepSTIA,9.0
JHUAPL-Bucky,9.9
BPagano-RtDriven,10.9
CEID-Walk,11.1
UVA-Ensemble,11.2
COVIDhub-baseline,11.3
Geneva-DetGrowth,12.5
UMich-RidgeTfReg,12.8
OliverWyman-Navigator,12.9
CU-select,13.2
UCSB-ACTS,13.3
OneQuietNight-ML,13.5
UCLA-SuEIR,13.7
IowaStateLW-STEM,13.9
COVIDhub-ensemble,14.6
LNQ-ens1,14.8
Google_Harvard-CPF,15.0
UChicagoCHATTOPADHYAY-UnIT,16.0
JHU_CSSE-DECOM,16.2
USC-SI_kJalpha,16.4
Karlen-pypm,17.5
Covid19Sim-Simulator,18.3
IEM_MED-CovidProject,18.6
RobertWalraven-ESG,18.6
LANL-GrowthRate,19.6
TTU-squider,20.3
CovidAnalytics-DELPHI,20.3
DDS-NBDS,21.1
JHU_UNC_GAS-StatMechPool,25.5
Wadhwani_AI-BayesOpt,26.9
JHU_IDD-CovidSP,27.1
