,mean_rank
COVIDhub-ensemble,8.6
OliverWyman-Navigator,10.2
YYG-ParamSearch,10.4
CEID-Walk,10.8
COVIDhub-baseline,10.9
LNQ-ens1,11.0
CMU-TimeSeries,11.3
USC-SI_kJalpha,11.6
UMass-MechBayes,12.1
CovidAnalytics-DELPHI,12.6
UCLA-SuEIR,12.8
JCB-PRM,13.0
GT-DeepCOVID,13.5
UA-EpiCovDA,13.7
Auquan-SEIR,14.0
CU-select,14.3
MOBS-GLEAM_COVID,14.5
Karlen-pypm,15.2
IHME-CurveFit,15.3
UMich-RidgeTfReg,15.6
LANL-GrowthRate,15.7
USACE-ERDC_SEIR,17.0
NotreDame-mobility,17.5
PSI-DRAFT,17.9
RobertWalraven-ESG,19.1
DDS-NBDS,19.2
JHU_IDD-CovidSP,20.4
