,actual_cases,COVIDhub-baseline,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,LANL-GrowthRate,RobertWalraven-ESG,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Alabama,50035,39108.0,221172.0,,33806.3,14816.0,,58620.0,33689.7,48048.6,18057.2,23204.0,13151.2,25948.4,119510.8,21755.0,-10927.0,171137.0,,-16228.7,-35219.0,,8585.0,-16345.3,-1986.4,-31977.8,-26831.0,-36883.8,-24086.6,69475.8,-28280.0,False,,False,False,,True,False,True,False,False,False,False,False,False
Alaska,8672,3132.0,1093.0,,3602.5,2411.0,,,3884.1,3375.2,3416.2,2370.8,1405.2,1707.4,4193.4,3159.0,-5540.0,-7579.0,,-5069.5,-6261.0,,,-4787.9,-5296.8,-5255.8,-6301.2,-7266.8,-6964.6,-4478.6,-5513.0,False,,True,False,,,True,True,True,False,False,False,True,True
Arizona,32395,28884.0,50558.0,,18746.0,4836.0,,16405.0,28526.2,23405.4,11850.6,19929.8,6681.9,23420.8,41846.4,34957.0,-3511.0,18163.0,,-13649.0,-27559.0,,-15990.0,-3868.8,-8989.6,-20544.4,-12465.2,-25713.1,-8974.2,9451.4,2562.0,False,,False,False,,False,False,False,False,False,False,False,False,True
Arkansas,37030,32700.0,48696.0,,26622.8,18083.0,,35127.0,42104.5,61003.7,12849.0,19151.7,14769.6,22635.0,29964.6,18175.0,-4330.0,11666.0,,-10407.2,-18947.0,,-1903.0,5074.5,23973.7,-24181.0,-17878.3,-22260.4,-14395.0,-7065.4,-18855.0,False,,False,False,,True,False,False,False,False,False,False,False,False
California,150607,146280.0,252060.0,,98976.8,94459.0,,138515.0,75289.8,130688.6,110069.7,77129.9,46566.1,112373.8,98787.3,109928.0,-4327.0,101453.0,,-51630.2,-56148.0,,-12092.0,-75317.2,-19918.4,-40537.3,-73477.1,-104040.9,-38233.2,-51819.7,-40679.0,False,,False,False,,False,False,False,False,False,False,False,False,False
Colorado,42994,20760.0,58267.0,,16067.1,751.0,,14992.0,23516.6,17451.3,14225.7,13997.4,10872.4,11595.0,65360.7,33238.0,-22234.0,15273.0,,-26926.9,-42243.0,,-28002.0,-19477.4,-25542.7,-28768.3,-28996.6,-32121.6,-31399.0,22366.7,-9756.0,True,,False,False,,False,True,False,False,False,False,False,False,True
Connecticut,15680,7206.0,18481.0,,6490.4,15.0,,4799.0,8025.5,4721.8,7229.5,2086.8,525.2,6582.9,5152.7,4389.0,-8474.0,2801.0,,-9189.6,-15665.0,,-10881.0,-7654.5,-10958.2,-8450.5,-13593.2,-15154.8,-9097.1,-10527.3,-11291.0,True,,False,False,,False,True,False,True,False,False,False,False,False
Delaware,5502,4338.0,3688.0,,5317.8,9.0,,3073.0,6275.4,3327.2,2172.7,2004.1,1390.7,3013.8,3965.8,3081.0,-1164.0,-1814.0,,-184.2,-5493.0,,-2429.0,773.4,-2174.8,-3329.3,-3497.9,-4111.3,-2488.2,-1536.2,-2421.0,False,,True,False,,False,True,False,False,False,False,False,False,False
District of Columbia,2364,2454.0,1231.0,,1564.2,82.0,,1647.0,1645.9,2306.6,1633.1,1186.1,1193.5,1975.6,2460.0,3068.0,90.0,-1133.0,,-799.8,-2282.0,,-717.0,-718.1,-57.4,-730.9,-1177.9,-1170.5,-388.4,96.0,704.0,False,,False,False,,False,False,True,False,False,False,False,False,False
Florida,121314,117972.0,164146.0,,91619.5,29321.0,,103298.0,104317.4,110984.5,60659.4,66569.9,33148.8,90460.3,83576.9,73181.0,-3342.0,42832.0,,-29694.5,-91993.0,,-18016.0,-16996.6,-10329.5,-60654.6,-54744.1,-88165.2,-30853.7,-37737.1,-48133.0,False,,False,False,,False,False,False,False,False,False,False,False,False
