,actual_cases,COVIDhub-baseline,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Geneva-DetGrowth,IBF-TimeSeries,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Geneva-DetGrowth,error-IBF-TimeSeries,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Geneva-DetGrowth,beat_baseline-IBF-TimeSeries,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Alabama,31685,29708.0,27868.5,23613.0,25935.0,,21573.0,9586.0,48405.0,7476.2,,15191.0,36275.0,22649.0,27817.1,14179.0,15745.4,19684.6,25734.7,52318.0,,,3920.8,21769.6,31089.5,5736.1,23352.0,-1977.0,-3816.5,-8072.0,-5750.0,,-10112.0,-22099.0,16720.0,-24208.8,,-16494.0,4590.0,-9036.0,-3867.9,-17506.0,-15939.6,-12000.4,-5950.3,20633.0,,,-27764.2,-9915.4,-595.5,-25948.9,-8333.0,False,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False,False,,,False,False,True,False,False
Alaska,5118,2552.0,2522.3,2378.0,693.0,,2785.1,1881.0,5104.0,643.6,,,,3150.9,2512.6,2342.3,1694.0,2380.3,2618.2,2491.0,,1955.0,1519.8,1717.1,2240.8,4493.3,2672.0,-2566.0,-2595.7,-2740.0,-4425.0,,-2332.9,-3237.0,-14.0,-4474.4,,,,-1967.1,-2605.4,-2775.7,-3424.0,-2737.7,-2499.8,-2627.0,,-3163.0,-3598.2,-3400.9,-2877.2,-624.7,-2446.0,False,False,False,,True,False,True,False,,,,True,False,False,False,False,True,False,,False,False,False,False,True,True
Arizona,19946,13100.0,12246.1,11078.0,10228.0,,14441.2,2941.0,31014.6,3220.3,,6524.0,13974.0,15676.3,10893.6,10906.4,14582.2,7532.5,11760.5,14602.0,,4620.5,0.0,10764.6,33524.0,10648.6,5770.0,-6846.0,-7699.9,-8868.0,-9718.0,,-5504.8,-17005.0,11068.6,-16725.7,,-13422.0,-5972.0,-4269.7,-9052.4,-9039.6,-5363.8,-12413.5,-8185.5,-5344.0,,-15325.5,-19946.0,-9181.4,13578.0,-9297.4,-14176.0,False,False,False,,True,False,False,False,,False,True,True,False,False,True,False,False,True,,False,False,False,False,False,False
Arkansas,24563,22380.0,22282.8,21358.0,22990.0,,22035.0,14193.0,45648.2,5668.2,,12092.0,23349.0,31067.3,23066.7,9824.4,30146.0,14504.7,19539.4,22732.0,,9720.8,10934.4,16327.9,20163.0,16282.1,18686.0,-2183.0,-2280.2,-3205.0,-1573.0,,-2528.0,-10370.0,21085.2,-18894.8,,-12471.0,-1214.0,6504.3,-1496.3,-14738.6,5583.0,-10058.3,-5023.6,-1831.0,,-14842.2,-13628.6,-8235.1,-4400.0,-8280.9,-5877.0,False,False,True,,False,False,False,False,,False,True,False,True,False,False,False,False,True,,False,False,False,False,False,False
California,96233,96552.0,95972.4,81218.0,110152.0,,75683.9,59389.0,196370.6,22518.3,,49038.0,93300.0,81858.8,81439.7,92382.5,64480.3,56063.6,94682.8,77560.0,,47836.1,238792.2,74459.4,120573.7,80926.3,87031.0,319.0,-260.6,-15015.0,13919.0,,-20549.1,-36844.0,100137.6,-73714.7,,-47195.0,-2933.0,-14374.2,-14793.3,-3850.5,-31752.7,-40169.4,-1550.2,-18673.0,,-48396.9,142559.2,-21773.6,24340.7,-15306.7,-9202.0,True,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False
Colorado,24888,16612.0,16083.9,15986.0,38536.0,,15653.8,742.0,21836.6,4729.9,,7754.0,19270.0,25927.5,15721.5,15307.3,14273.8,11851.1,18151.4,20057.0,,8846.4,13242.4,11730.5,11410.8,21622.1,25580.0,-8276.0,-8804.1,-8902.0,13648.0,,-9234.2,-24146.0,-3051.4,-20158.1,,-17134.0,-5618.0,1039.5,-9166.5,-9580.7,-10614.2,-13036.9,-6736.6,-4831.0,,-16041.6,-11645.6,-13157.5,-13477.2,-3265.9,692.0,False,False,False,,False,False,True,False,,False,True,True,False,False,False,False,True,True,,False,False,False,False,True,True
Connecticut,9465,4240.0,4255.7,3770.0,9610.0,,3947.9,7.0,7117.2,1140.1,,1323.0,3895.0,4109.6,3832.5,8972.8,4980.7,1428.0,3143.5,3038.0,,311.1,0.0,3602.8,4017.3,2600.8,2279.0,-5225.0,-5209.3,-5695.0,145.0,,-5517.1,-9458.0,-2347.8,-8324.9,,-8142.0,-5570.0,-5355.4,-5632.5,-492.2,-4484.3,-8037.0,-6321.5,-6427.0,,-9153.9,-9465.0,-5862.2,-5447.7,-6864.2,-7186.0,True,False,True,,False,False,True,False,,False,False,False,False,True,True,False,False,False,,False,False,False,False,False,False
Delaware,3691,2828.0,2739.2,2215.0,2042.0,,2899.8,5.0,3275.9,898.9,,1221.0,2116.0,3792.8,2190.4,2483.5,2470.7,1845.9,2629.7,2054.0,,1594.9,762.3,2049.2,2877.0,2432.1,2000.0,-863.0,-951.8,-1476.0,-1649.0,,-791.2,-3686.0,-415.1,-2792.1,,-2470.0,-1575.0,101.8,-1500.6,-1207.5,-1220.3,-1845.1,-1061.3,-1637.0,,-2096.1,-2928.7,-1641.8,-814.0,-1258.9,-1691.0,False,False,False,,True,False,True,False,,False,False,True,False,False,False,False,False,False,,False,False,False,True,False,False
District of Columbia,1491,1252.0,1261.3,958.0,623.0,,971.5,54.0,1463.2,315.3,,615.0,826.0,1457.7,914.0,1471.5,916.4,820.7,1193.9,1025.0,,220.3,1061.6,1032.5,,1072.8,1210.0,-239.0,-229.7,-533.0,-868.0,,-519.5,-1437.0,-27.8,-1175.7,,-876.0,-665.0,-33.3,-577.0,-19.5,-574.6,-670.3,-297.1,-466.0,,-1270.7,-429.4,-458.5,,-418.2,-281.0,True,False,False,,False,False,True,False,,False,False,True,False,True,False,False,False,False,,False,False,False,,False,False
Florida,77569,69796.0,64240.7,57678.0,98685.0,,57556.9,20718.0,167382.5,16346.3,,34891.0,61586.0,70947.1,57204.9,69122.9,31256.8,43222.4,67909.4,59852.0,,25354.8,0.0,53051.9,102111.9,50567.1,58620.0,-7773.0,-13328.3,-19891.0,21116.0,,-20012.1,-56851.0,89813.5,-61222.7,,-42678.0,-15983.0,-6621.9,-20364.1,-8446.1,-46312.2,-34346.6,-9659.6,-17717.0,,-52214.2,-77569.0,-24517.1,24542.9,-27001.9,-18949.0,False,False,False,,False,False,False,False,,False,False,True,False,False,False,False,False,False,,False,False,False,False,False,False
