,actual_deaths,Baseline,Baseline_0.98,Auquan-SEIR,COVIDhub-ensemble,CU-select,IHME-CurveFit,IowaStateLW-STEM,LANL-GrowthRate,MIT_CovidAnalytics-DELPHI,MOBS_NEU-GLEAM_COVID,NotreDame-FRED,UCLA-SuEIR,UMass-MechBayes,UT-Mobility,YYG-ParamSearch,error-Baseline,error-Auquan-SEIR,error-COVIDhub-ensemble,error-CU-select,error-IHME-CurveFit,error-IowaStateLW-STEM,error-LANL-GrowthRate,error-MIT_CovidAnalytics-DELPHI,error-MOBS_NEU-GLEAM_COVID,error-NotreDame-FRED,error-UCLA-SuEIR,error-UMass-MechBayes,error-UT-Mobility,error-YYG-ParamSearch,beat_baseline-Auquan-SEIR,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-LANL-GrowthRate,beat_baseline-MIT_CovidAnalytics-DELPHI,beat_baseline-MOBS_NEU-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UT-Mobility,beat_baseline-YYG-ParamSearch
Alabama,618,563.9,503.2,726.0,537.3,708.0,722.3,432.0,525.8,439.0,548.6,,463.9,565.0,511.3,541.3,-54.1,108.0,-80.7,90.0,104.3,-186.0,-92.2,-179.0,-69.4,,-154.1,-53.0,-106.7,-76.7,False,False,False,False,False,False,False,False,,False,True,False,False
Alaska,10,9.0,9.0,26.0,13.6,15.0,5.0,,9.8,10.0,17.5,,10.8,10.0,27.9,12.2,-1.0,16.0,3.6,5.0,-5.0,,-0.2,0.0,7.5,,0.8,0.0,17.9,2.2,False,False,False,False,,True,True,False,,True,True,False,False
Arizona,904,697.6,623.3,937.0,676.7,919.0,682.1,580.0,682.4,658.0,557.4,,567.5,684.0,648.7,693.7,-206.4,33.0,-227.3,15.0,-221.9,-324.0,-221.6,-246.0,-346.6,,-336.5,-220.0,-255.3,-210.3,True,False,True,False,False,False,False,False,,False,False,False,False
Arkansas,133,172.4,151.1,157.0,158.2,122.0,122.8,128.0,88.5,169.0,200.5,,113.4,217.0,208.0,148.5,39.4,24.0,25.2,-11.0,-10.2,-5.0,-44.5,36.0,67.5,,-19.6,84.0,75.0,15.5,True,True,True,True,True,False,True,False,,True,False,False,True
California,4144,4109.9,3690.5,5949.0,3998.7,4223.0,3742.4,4049.0,3567.9,4254.0,5498.7,,3379.5,3995.0,3413.9,3715.1,-34.1,1805.0,-145.3,79.0,-401.6,-95.0,-576.1,110.0,1354.7,,-764.5,-149.0,-730.1,-428.9,False,False,False,False,False,False,False,False,,False,False,False,False
Colorado,1443,1436.0,1304.5,1922.0,1500.6,1322.0,1215.6,1277.0,1263.3,1655.0,2161.9,,1285.6,1621.0,1182.3,1515.5,-7.0,479.0,57.6,-121.0,-227.4,-166.0,-179.7,212.0,718.9,,-157.4,178.0,-260.7,72.5,False,False,False,False,False,False,False,False,,False,False,False,False
Connecticut,3912,4410.9,3973.6,3931.0,3994.2,3758.0,3689.5,3214.0,3020.4,5362.0,5169.5,,3578.1,3920.0,3426.6,3807.4,498.9,19.0,82.2,-154.0,-222.5,-698.0,-891.6,1450.0,1257.5,,-333.9,8.0,-485.4,-104.6,True,True,True,True,False,False,False,False,,True,True,True,True
Delaware,361,396.9,348.2,496.0,402.8,377.0,393.8,318.0,243.0,448.0,628.3,,301.0,464.0,391.9,368.3,35.9,135.0,41.8,16.0,32.8,-43.0,-118.0,87.0,267.3,,-60.0,103.0,30.9,7.3,False,False,True,True,False,False,False,False,,False,False,True,True
District of Columbia,462,532.6,470.2,652.0,520.4,,496.7,443.0,585.6,569.0,,,361.8,606.0,518.2,479.2,70.6,190.0,58.4,,34.7,-19.0,123.6,107.0,,,-100.2,144.0,56.2,17.2,False,True,,True,True,False,False,,,False,False,True,True
Florida,2447,2551.6,2291.9,2673.0,2210.4,2560.0,2432.5,2258.0,2113.2,2021.0,2888.8,,1938.4,1992.0,1966.1,2222.2,104.6,226.0,-236.6,113.0,-14.5,-189.0,-333.8,-426.0,441.8,,-508.6,-455.0,-480.9,-224.8,False,False,False,True,False,False,False,False,,False,False,False,False
Georgia,2004,2217.7,1988.8,2343.0,1922.7,2475.0,2792.7,1912.0,1640.2,1522.0,2354.0,,1874.8,1961.0,1619.1,1959.2,213.7,339.0,-81.3,471.0,788.7,-92.0,-363.8,-482.0,350.0,,-129.2,-43.0,-384.9,-44.8,False,True,False,False,True,False,False,False,,True,True,False,True
Hawaii,17,28.6,26.0,42.0,26.5,19.0,24.2,,17.7,22.0,24.9,,21.7,21.0,39.6,29.1,11.6,25.0,9.5,2.0,7.2,,0.7,5.0,7.9,,4.7,4.0,22.6,12.1,False,True,True,True,,True,True,True,,True,True,False,False
Idaho,82,94.9,88.0,167.0,92.3,87.0,80.9,71.0,76.1,86.0,86.0,,90.3,79.0,141.0,92.9,12.9,85.0,10.3,5.0,-1.1,-11.0,-5.9,4.0,4.0,,8.3,-3.0,59.0,10.9,False,True,True,True,True,True,True,True,,True,True,False,True
Illinois,5330,5260.1,4675.1,6942.0,5253.7,6096.0,5118.8,4525.0,5392.6,6639.0,5640.1,3919.0,4236.5,5078.0,4040.3,4827.8,-69.9,1612.0,-76.3,766.0,-211.2,-805.0,62.6,1309.0,310.1,-1411.0,-1093.5,-252.0,-1289.7,-502.2,False,False,False,False,False,True,False,False,False,False,False,False,False
Indiana,2125,2362.4,2090.0,2845.0,2486.0,2783.0,3401.5,1704.0,2022.2,2154.0,4211.4,2137.5,1804.4,2964.0,1911.1,2046.7,237.4,720.0,361.0,658.0,1276.5,-421.0,-102.8,29.0,2086.4,12.5,-320.6,839.0,-213.9,-78.3,False,False,False,False,False,True,True,False,True,False,False,True,True
Iowa,531,438.6,382.2,671.0,784.7,1317.0,578.0,465.0,472.3,1047.0,689.3,,442.5,1125.0,739.8,447.7,-92.4,140.0,253.7,786.0,47.0,-66.0,-58.7,516.0,158.3,,-88.5,594.0,208.8,-83.3,False,False,False,True,True,True,False,False,,True,False,False,True
Kansas,215,232.7,213.1,355.0,281.9,242.0,209.2,458.0,240.0,560.0,205.9,,340.5,187.0,210.4,235.6,17.7,140.0,66.9,27.0,-5.8,243.0,25.0,345.0,-9.1,,125.5,-28.0,-4.6,20.6,False,False,False,True,False,False,False,True,,False,False,True,False
Kentucky,431,426.6,388.1,622.0,393.4,305.0,422.3,311.0,403.1,469.0,371.1,404.0,451.9,361.0,384.4,408.1,-4.4,191.0,-37.6,-126.0,-8.7,-120.0,-27.9,38.0,-59.9,-27.0,20.9,-70.0,-46.6,-22.9,False,False,False,False,False,False,False,False,False,False,False,False,False
Louisiana,2786,3103.6,2861.9,3374.0,2553.1,2441.0,2714.4,2313.0,2615.4,2260.0,2578.6,,2697.5,2582.0,2366.4,2914.7,317.6,588.0,-232.9,-345.0,-71.6,-473.0,-170.6,-526.0,-207.4,,-88.5,-204.0,-419.6,128.7,False,True,False,True,False,True,False,True,,True,True,False,True
Maine,89,84.0,78.0,119.0,100.9,112.0,73.2,60.0,88.1,96.0,97.7,,78.9,89.0,144.9,101.0,-5.0,30.0,11.9,23.0,-15.8,-29.0,-0.9,7.0,8.7,,-10.1,0.0,55.9,12.0,False,False,False,False,False,True,False,False,,False,True,False,False
Maryland,2509,2712.0,2395.1,3628.0,2685.8,2593.0,2049.6,2026.0,2589.0,2952.0,4256.1,,1971.7,2956.0,1811.8,2375.8,203.0,1119.0,176.8,84.0,-459.4,-483.0,80.0,443.0,1747.1,,-537.3,447.0,-697.2,-133.2,False,True,True,False,False,True,False,False,,False,False,False,True
Massachusetts,6768,8266.1,7322.4,7838.0,7432.9,7026.0,7153.9,6357.0,6613.7,9921.0,7968.1,,6021.0,8819.0,6047.4,7155.6,1498.1,1070.0,664.9,258.0,385.9,-411.0,-154.3,3153.0,1200.1,,-747.0,2051.0,-720.6,387.6,True,True,True,True,True,True,False,True,,True,False,True,True
Michigan,5704,7162.4,6519.3,6240.0,5667.2,5759.0,6332.5,4898.0,5250.4,5965.0,5725.4,6807.0,5468.5,5768.0,5099.2,6357.6,1458.4,536.0,-36.8,55.0,628.5,-806.0,-453.6,261.0,21.4,1103.0,-235.5,64.0,-604.8,653.6,True,True,True,True,True,True,True,True,True,True,True,True,True
Minnesota,1036,981.1,856.5,1796.0,1376.1,979.0,1435.6,604.0,1315.8,1542.0,2286.7,1211.5,572.1,1936.0,1494.2,886.7,-54.9,760.0,340.1,-57.0,399.6,-432.0,279.8,506.0,1250.7,175.5,-463.9,900.0,458.2,-149.3,False,False,False,False,False,False,False,False,False,False,False,False,False
Mississippi,723,596.1,531.2,721.0,526.8,530.0,440.5,329.0,414.9,641.0,494.9,,498.4,529.0,556.4,554.4,-126.9,-2.0,-196.2,-193.0,-282.5,-394.0,-308.1,-82.0,-228.1,,-224.6,-194.0,-166.6,-168.6,True,False,False,False,False,False,True,False,,False,False,False,False
Missouri,812,908.3,814.3,997.0,686.5,1041.0,684.7,581.0,600.9,643.0,743.2,,541.9,579.0,670.3,676.4,96.3,185.0,-125.5,229.0,-127.3,-231.0,-211.1,-169.0,-68.8,,-270.1,-233.0,-141.7,-135.6,False,False,False,False,False,False,False,True,,False,False,False,False
Montana,17,23.7,22.0,33.0,31.6,17.0,13.2,16.0,16.2,14.0,32.0,,20.8,21.0,78.6,25.5,6.7,16.0,14.6,0.0,-3.8,-1.0,-0.8,-3.0,15.0,,3.8,4.0,61.6,8.5,False,False,True,True,True,True,True,False,,True,True,False,False
Nebraska,170,162.9,144.1,360.0,295.4,218.0,234.1,597.0,193.3,658.0,274.0,,198.3,416.0,243.1,167.0,-7.1,190.0,125.4,48.0,64.1,427.0,23.3,488.0,104.0,,28.3,246.0,73.1,-3.0,False,False,False,False,False,False,False,False,,False,False,False,True
