,actual_deaths,Baseline,Baseline_0.98,CU-select,IHME-CurveFit,LANL-GrowthRate,UT-Mobility,YYG-ParamSearch,error-Baseline,error-Baseline_0.98,error-CU-select,error-IHME-CurveFit,error-LANL-GrowthRate,error-UT-Mobility,error-YYG-ParamSearch,beat_baseline-CU-select,beat_baseline-IHME-CurveFit,beat_baseline-LANL-GrowthRate,beat_baseline-UT-Mobility,beat_baseline-YYG-ParamSearch
Alabama,618,531.9,414.5,286.0,290.0,338.5,358.1,455.2,-86.1,-203.5,-332.0,-328.0,-279.5,-259.9,-162.8,False,False,False,False,False
Alaska,10,14.9,13.0,15.0,16.5,12.5,32.4,25.2,4.9,3.0,5.0,6.5,2.5,22.4,15.2,False,False,True,False,False
Arizona,904,529.6,421.4,480.0,470.2,567.8,545.0,543.0,-374.4,-482.6,-424.0,-433.8,-336.2,-359.0,-361.0,False,False,True,True,True
Arkansas,133,109.3,87.3,74.0,126.6,61.6,78.1,114.4,-23.7,-45.7,-59.0,-6.4,-71.4,-54.9,-18.6,False,True,False,False,True
California,4144,4322.3,3337.3,5363.0,1743.4,3854.0,2347.4,3063.1,178.3,-806.7,1219.0,-2400.6,-290.0,-1796.6,-1080.9,False,False,False,False,False
Colorado,1443,1187.3,947.0,923.0,648.7,1109.6,616.0,884.9,-255.7,-496.0,-520.0,-794.3,-333.4,-827.0,-558.1,False,False,False,False,False
Connecticut,3912,4483.1,3432.2,4489.0,2883.6,2280.9,1944.7,3310.7,571.1,-479.8,577.0,-1028.4,-1631.1,-1967.3,-601.3,False,False,False,False,False
Delaware,361,254.4,195.7,1134.0,135.9,139.0,178.7,230.4,-106.6,-165.3,773.0,-225.1,-222.0,-182.3,-130.6,False,False,False,False,False
District of Columbia,462,365.4,281.1,,213.1,271.7,256.9,289.9,-96.6,-180.9,,-248.9,-190.3,-205.1,-172.1,,False,False,False,False
Florida,2447,2607.3,2033.2,3711.0,1533.4,1769.1,1292.6,1737.9,160.3,-413.8,1264.0,-913.6,-677.9,-1154.4,-709.1,False,False,False,False,False
Georgia,2004,2174.7,1708.8,1263.0,1962.6,1570.3,978.3,1652.1,170.7,-295.2,-741.0,-41.4,-433.7,-1025.7,-351.9,False,True,False,False,False
Hawaii,17,15.9,14.0,17.0,26.1,15.1,25.9,32.3,-1.1,-3.0,0.0,9.1,-1.9,8.9,15.3,True,False,False,False,False
Idaho,82,143.6,112.4,60.0,61.2,61.3,142.4,114.5,61.6,30.4,-22.0,-20.8,-20.7,60.4,32.5,True,True,True,True,True
Illinois,5330,4628.6,3583.1,6762.0,2093.0,3486.4,2259.8,3244.0,-701.4,-1746.9,1432.0,-3237.0,-1843.6,-3070.2,-2086.0,False,False,False,False,False
Indiana,2125,1844.7,1443.0,1414.0,930.5,1661.8,1021.0,1343.2,-280.3,-682.0,-711.0,-1194.5,-463.2,-1104.0,-781.8,False,False,False,False,False
Iowa,531,274.1,211.8,169.0,418.2,453.4,174.3,266.6,-256.9,-319.2,-362.0,-112.8,-77.6,-356.7,-264.4,False,True,True,False,False
Kansas,215,309.7,241.8,145.0,267.7,173.3,163.6,233.6,94.7,26.8,-70.0,52.7,-41.7,-51.4,18.6,True,True,True,True,True
Kentucky,431,433.0,343.1,191.0,464.9,405.9,246.0,320.9,2.0,-87.9,-240.0,33.9,-25.1,-185.0,-110.1,False,False,False,False,False
Louisiana,2786,3966.9,3130.5,2363.0,1703.8,1713.2,1654.7,2715.7,1180.9,344.5,-423.0,-1082.2,-1072.8,-1131.3,-70.3,True,True,True,True,True
Maine,89,121.9,94.3,43.0,53.3,58.1,99.0,107.4,32.9,5.3,-46.0,-35.7,-30.9,10.0,18.4,False,False,True,True,True
Maryland,2509,1778.9,1366.2,3087.0,1111.5,1388.2,1010.3,1479.9,-730.1,-1142.8,578.0,-1397.5,-1120.8,-1498.7,-1029.1,True,False,False,False,False
Massachusetts,6768,7270.3,5527.8,9893.0,3897.0,5913.1,3674.3,4009.9,502.3,-1240.2,3125.0,-2871.0,-854.9,-3093.7,-2758.1,False,False,False,False,False
Michigan,5704,7732.7,6059.9,4089.0,3361.2,3950.0,3657.6,5374.5,2188.7,515.9,-1455.0,-2182.8,-1594.0,-1886.4,-169.5,True,True,True,True,True
Minnesota,1036,508.9,391.5,462.0,301.3,502.2,432.6,447.6,-527.1,-644.5,-574.0,-734.7,-533.8,-603.4,-588.4,False,False,False,False,False
Mississippi,723,528.0,412.4,181.0,398.5,386.6,258.9,407.7,-195.0,-310.6,-542.0,-324.5,-336.4,-464.1,-315.3,False,False,False,False,False
Missouri,812,673.4,524.9,676.0,385.1,327.4,358.3,476.1,-95.6,-244.1,-93.0,-383.9,-441.6,-410.7,-292.9,True,False,False,False,False
Montana,17,33.4,26.1,13.0,14.2,12.3,59.9,35.7,16.4,9.1,-4.0,-2.8,-4.7,42.9,18.7,True,True,True,False,False
Nebraska,170,92.4,72.3,15.0,221.8,162.1,71.6,83.7,-77.6,-97.7,-155.0,51.8,-7.9,-98.4,-86.3,False,True,True,False,False
Nevada,417,427.4,343.1,268.0,240.0,309.7,260.3,335.9,10.4,-73.9,-149.0,-177.0,-107.3,-156.7,-81.1,False,False,False,False,False
New Hampshire,238,125.9,98.3,241.0,70.3,124.1,97.4,119.0,-112.1,-139.7,3.0,-167.7,-113.9,-140.6,-119.0,True,False,False,False,False
New Jersey,11634,16146.6,12456.2,13538.0,7116.0,12457.3,5700.1,10478.1,4512.6,822.2,1904.0,-4518.0,823.3,-5933.9,-1155.9,True,False,True,False,True
New Mexico,351,224.9,171.7,111.0,104.7,150.1,213.9,185.4,-126.1,-179.3,-240.0,-246.3,-200.9,-137.1,-165.6,False,False,False,False,False
New York,30429,48687.7,39260.0,37820.0,23741.0,41060.6,17248.0,30647.5,18781.7,9354.0,7914.0,-6165.0,11154.6,-12658.0,741.5,True,True,True,True,True
North Carolina,929,850.1,646.5,299.0,309.8,718.2,566.3,786.6,-78.9,-282.5,-630.0,-619.2,-210.8,-362.7,-142.4,False,False,False,False,False
North Dakota,60,20.7,17.0,9.0,223.3,26.0,26.0,29.4,-39.3,-43.0,-51.0,163.3,-34.0,-34.0,-30.6,False,False,True,True,True
