,actual_deaths,Baseline,Baseline_0.98,Auquan-SEIR,COVIDhub-ensemble,CU-select,Covid19Sim-Simulator,GT-DeepCOVID,Geneva-DetGrowth,Imperial-ensemble1,Imperial-ensemble2,IowaStateLW-STEM,JHU_IDD-CovidSP,LANL-GrowthRate,MIT_CovidAnalytics-DELPHI,MOBS_NEU-GLEAM_COVID,NotreDame-FRED,PSI-DRAFT,SWC-TerminusCM,UA-EpiCovDA,UCLA-SuEIR,UMass-MechBayes,USACE-ERDC_SEIR,UT-Mobility,YYG-ParamSearch,error-Baseline,error-Baseline_0.98,error-Auquan-SEIR,error-COVIDhub-ensemble,error-CU-select,error-Covid19Sim-Simulator,error-GT-DeepCOVID,error-Geneva-DetGrowth,error-Imperial-ensemble1,error-Imperial-ensemble2,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-MIT_CovidAnalytics-DELPHI,error-MOBS_NEU-GLEAM_COVID,error-NotreDame-FRED,error-PSI-DRAFT,error-SWC-TerminusCM,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UMass-MechBayes,error-USACE-ERDC_SEIR,error-UT-Mobility,error-YYG-ParamSearch,beat_baseline-Auquan-SEIR,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Covid19Sim-Simulator,beat_baseline-GT-DeepCOVID,beat_baseline-Geneva-DetGrowth,beat_baseline-Imperial-ensemble1,beat_baseline-Imperial-ensemble2,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-MIT_CovidAnalytics-DELPHI,beat_baseline-MOBS_NEU-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-PSI-DRAFT,beat_baseline-SWC-TerminusCM,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-USACE-ERDC_SEIR,beat_baseline-UT-Mobility,beat_baseline-YYG-ParamSearch
Alabama,618,605.0,602.4,803.0,625.6,643.0,558.5,,,,,577.0,669.5,631.0,628.0,623.1,,654.0,643.0,685.0,612.5,608.0,605.6,617.0,609.6,-13.0,-15.6,185.0,7.6,25.0,-59.5,,,,,-41.0,51.5,13.0,10.0,5.1,,36.0,25.0,67.0,-5.5,-10.0,-12.4,-1.0,-8.4,False,True,False,False,,,,,False,False,True,True,True,,False,False,False,True,True,True,True,True
Alaska,10,10.0,10.0,15.0,10.9,10.0,10.4,10.4,,,,,14.1,10.1,8.0,10.2,,10.0,,11.0,10.3,10.0,11.0,10.0,10.4,0.0,0.0,5.0,0.9,0.0,0.4,0.4,,,,,4.1,0.1,-2.0,0.2,,0.0,,1.0,0.3,0.0,1.0,0.0,0.4,False,False,True,False,False,,,,,False,False,False,False,,True,,False,False,True,False,True,False
Arizona,904,904.7,899.7,1006.0,928.3,920.0,921.0,951.3,,,,981.0,995.7,905.2,951.0,968.2,,678.0,958.0,947.0,917.2,903.0,929.0,943.5,916.5,0.7,-4.3,102.0,24.3,16.0,17.0,47.3,,,,77.0,91.7,1.2,47.0,64.2,,-226.0,54.0,43.0,13.2,-1.0,25.0,39.5,12.5,False,False,False,False,False,,,,False,False,False,False,False,,False,False,False,False,False,False,False,False
Arkansas,133,131.4,130.7,170.0,134.1,147.0,117.6,,,,,128.0,149.4,136.3,125.0,129.0,,133.5,151.0,135.0,134.5,131.0,126.6,128.0,129.0,-1.6,-2.3,37.0,1.1,14.0,-15.4,,,,,-5.0,16.4,3.3,-8.0,-4.0,,0.5,18.0,2.0,1.5,-2.0,-6.4,-5.0,-4.0,False,True,False,False,,,,,False,False,False,False,False,,True,False,False,True,False,False,False,False
California,4144,4194.6,4173.1,4752.0,4234.5,4285.0,3861.5,4288.8,,,,4461.0,4616.3,4123.3,4229.0,4214.1,,4205.0,4140.0,4535.0,4170.3,4145.0,4457.0,4196.0,4165.1,49.6,28.1,607.0,89.5,140.0,-283.5,143.8,,,,316.0,471.3,-21.7,84.0,69.1,,60.0,-5.0,390.0,25.3,0.0,312.0,51.0,20.1,False,False,False,False,False,,,,False,False,True,False,False,,False,True,False,True,True,False,False,True
Colorado,1443,1432.3,1427.4,1673.0,1462.8,1436.0,1391.6,1447.5,,,,1618.0,1487.9,1462.0,1456.0,1478.2,,1520.0,1546.0,1460.0,1487.2,1432.0,1480.8,1472.0,1454.8,-10.7,-15.6,230.0,19.8,-7.0,-51.4,4.5,,,,175.0,44.9,19.0,13.0,35.2,,77.0,103.0,17.0,44.2,-11.0,37.8,29.0,11.8,False,False,True,False,True,,,,False,False,False,False,False,,False,False,False,False,False,False,False,False
Connecticut,3912,3937.3,3925.4,4066.0,3931.4,3979.0,3865.0,,,,,3894.0,3929.4,3935.1,3897.0,3959.9,,3965.5,3955.0,3782.0,3969.9,3894.0,3834.8,3902.5,3927.1,25.3,13.4,154.0,19.4,67.0,-47.0,,,,,-18.0,17.4,23.1,-15.0,47.9,,53.5,43.0,-130.0,57.9,-18.0,-77.2,-9.5,15.1,False,True,False,False,,,,,True,True,True,True,False,,False,False,False,False,True,False,True,True
Delaware,361,356.9,355.4,442.0,364.7,392.0,330.9,344.8,,,,374.0,380.2,364.5,367.0,367.7,,380.0,410.0,373.0,357.2,355.0,350.2,366.0,361.1,-4.1,-5.6,81.0,3.7,31.0,-30.1,-16.2,,,,13.0,19.2,3.5,6.0,6.7,,19.0,49.0,12.0,-3.8,-6.0,-10.8,5.0,0.1,False,True,False,False,False,,,,False,False,True,False,False,,False,False,False,True,False,False,False,True
District of Columbia,462,474.0,472.0,540.0,480.5,,436.9,,,,,495.0,492.7,475.5,489.0,,,483.0,506.0,458.0,494.3,467.0,465.9,479.5,472.0,12.0,10.0,78.0,18.5,,-25.1,,,,,33.0,30.7,13.5,27.0,,,21.0,44.0,-4.0,32.3,5.0,3.9,17.5,10.0,False,False,,False,,,,,False,False,False,False,,,False,False,True,False,True,True,False,True
Florida,2447,2463.3,2452.3,2772.0,2464.3,2525.0,2216.1,,,,,2552.0,2561.6,2452.3,2390.0,2449.0,,2498.0,2482.0,2728.0,2482.3,2436.0,2296.3,2459.0,2452.6,16.3,5.3,325.0,17.3,78.0,-230.9,,,,,105.0,114.6,5.3,-57.0,2.0,,51.0,35.0,281.0,35.3,-11.0,-150.7,12.0,5.6,False,False,False,False,,,,,False,False,True,False,True,,False,False,False,False,True,False,True,True
