,actual_deaths,Baseline,Covid19Sim-Simulator,error-Baseline,error-Covid19Sim-Simulator,beat_baseline-Covid19Sim-Simulator
Alabama,2558,1739.0,1536.4,-819.0,-1021.6,False
Alaska,58,10.0,11.3,-48.0,-46.7,True
Arizona,5705,3082.7,2278.4,-2622.3,-3426.6,False
Arkansas,1407,455.4,371.0,-951.6,-1036.0,False
California,16115,13446.6,8550.7,-2669.4,-7565.3,False
Colorado,2060,3538.3,2002.2,1478.3,-57.8,True
Connecticut,4513,9067.3,5060.6,4554.3,547.6,True
Delaware,645,1004.9,544.9,359.9,-100.1,True
District of Columbia,627,1356.0,631.2,729.0,4.2,True
Florida,14628,7215.3,3504.1,-7412.7,-11123.9,False
Georgia,7133,5919.0,2986.3,-1214.0,-4146.7,False
Hawaii,153,17.0,18.1,-136.0,-134.9,True
Idaho,480,192.1,146.8,-287.9,-333.2,False
Illinois,9023,17660.0,8843.7,8637.0,-179.3,True
Indiana,3669,6218.9,2848.1,2549.9,-820.9,True
Iowa,1381,2436.0,782.7,1055.0,-598.3,True
Kansas,690,393.6,375.2,-296.4,-314.8,False
Kentucky,1205,1465.9,615.7,260.9,-589.3,False
Louisiana,5545,6462.4,3660.2,917.4,-1884.8,False
Maine,142,228.9,210.4,86.9,68.4,True
Maryland,3957,7651.3,5049.1,3694.3,1092.1,True
Massachusetts,9507,17214.9,8922.2,7707.9,-584.8,True
Michigan,7124,11582.9,6378.9,4696.9,-507.1,True
Minnesota,2126,3650.0,2164.7,1524.0,38.7,True
Mississippi,3011,2586.1,1522.9,-424.9,-1488.1,False
Missouri,2177,2307.7,919.4,212.7,-1175.6,False
Montana,186,16.0,17.0,-170.0,-169.0,True
Nebraska,497,599.6,477.9,102.6,-19.1,True
Nevada,1620,945.7,511.8,-674.3,-1108.2,False
New Hampshire,442,906.7,290.0,464.7,-152.0,True
New Jersey,16135,25752.3,12977.3,11406.3,-1368.7,True
New Mexico,890,1297.6,549.0,407.6,-341.0,True
New York,33197,46282.1,32652.6,14069.1,439.6,True
North Carolina,3629,2632.0,2620.7,-997.0,-1008.3,False
North Dakota,271,241.6,173.9,-29.4,-97.1,False
Ohio,4925,8455.9,3696.5,3530.9,-1228.5,True
Oklahoma,1051,744.7,452.9,-306.3,-598.1,False
Oregon,571,355.4,183.3,-215.6,-387.7,False
Pennsylvania,8180,17223.4,6876.0,9043.4,-1304.0,True
Rhode Island,1118,2663.4,851.2,1545.4,-266.8,True
South Carolina,3442,1377.9,772.5,-2064.1,-2669.5,False
South Dakota,248,163.1,175.7,-84.9,-72.3,True
Tennessee,2560,1052.6,1015.4,-1507.4,-1544.6,False
Texas,16295,5016.6,4549.5,-11193.4,-11660.5,False
Utah,476,417.6,573.9,-58.4,97.9,False
Vermont,58,54.0,56.4,-4.0,-1.6,True
Virginia,3267,4207.0,2463.6,940.0,-803.4,True
Washington,2142,2192.4,1497.6,50.4,-644.4,False
West Virginia,363,166.3,99.3,-196.7,-263.7,False
Wisconsin,1372,1584.9,1171.1,212.9,-200.9,True
Wyoming,53,87.4,30.7,34.4,-22.3,True
US,209382,251556.6,144938.8,45351.6,-61266.2,False
