,actual_deaths,Baseline,Baseline_0.98,Auquan-SEIR,COVIDhub-ensemble,CU-select,Covid19Sim-Simulator,CovidActNow-SEIR_CAN,GT-DeepCOVID,GT_CHHS-COVID19,IHME-CurveFit,IowaStateLW-STEM,JHU_IDD-CovidSP,LANL-GrowthRate,MIT_CovidAnalytics-DELPHI,MOBS_NEU-GLEAM_COVID,NotreDame-FRED,OliverWyman-Navigator,PSI-DRAFT,SWC-TerminusCM,UA-EpiCovDA,UCLA-SuEIR,UMass-MechBayes,USACE-ERDC_SEIR,UT-Mobility,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-Auquan-SEIR,error-COVIDhub-ensemble,error-CU-select,error-Covid19Sim-Simulator,error-CovidActNow-SEIR_CAN,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-MIT_CovidAnalytics-DELPHI,error-MOBS_NEU-GLEAM_COVID,error-NotreDame-FRED,error-OliverWyman-Navigator,error-PSI-DRAFT,error-SWC-TerminusCM,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UMass-MechBayes,error-USACE-ERDC_SEIR,error-UT-Mobility,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-Auquan-SEIR,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidActNow-SEIR_CAN,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-MIT_CovidAnalytics-DELPHI,beat_baseline-MOBS_NEU-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-SWC-TerminusCM,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-USACE-ERDC_SEIR,beat_baseline-UT-Mobility,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
Alabama,1007,1004.4,965.3,1575.0,1062.9,1279.0,1055.2,948.6,,,1165.4,893.0,1121.3,1163.7,1096.0,951.3,,1164.4,954.5,965.0,1121.0,1034.7,1096.0,969.9,1084.5,1027.6,,-2.6,568.0,55.9,272.0,48.2,-58.4,,,158.4,-114.0,114.3,156.7,89.0,-55.7,,157.4,-52.5,-42.0,114.0,27.7,89.0,-37.1,77.5,20.6,,False,False,False,False,False,,,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,
Alaska,16,17.7,16.7,26.0,15.6,12.0,14.6,32.6,17.7,,12.4,,17.1,15.3,14.0,13.3,,20.9,12.0,23.0,15.0,12.9,18.0,18.3,10.0,12.8,,1.7,10.0,-0.4,-4.0,-1.4,16.6,1.7,,-3.6,,1.1,-0.7,-2.0,-2.7,,4.9,-4.0,7.0,-1.0,-3.1,2.0,2.3,-6.0,-3.2,,False,True,False,True,False,True,,False,,True,True,False,False,,False,False,False,True,False,False,False,False,False,
Arizona,1817,1591.0,1523.4,3000.0,1908.4,2522.0,2253.1,1813.6,,,2099.2,1798.0,1998.9,1835.7,3197.0,1648.0,,1908.3,1625.0,1682.0,1398.0,1627.5,1964.0,1736.6,1722.5,1660.3,1833.0,-226.0,1183.0,91.4,705.0,436.1,-3.4,,,282.2,-19.0,181.9,18.7,1380.0,-169.0,,91.3,-192.0,-135.0,-419.0,-189.5,147.0,-80.4,-94.5,-156.7,16.0,False,True,False,False,True,,,False,True,True,True,False,True,,True,True,True,False,True,True,True,True,True,True
Arkansas,286,250.4,238.4,587.0,289.0,367.0,247.7,430.3,291.7,,293.7,261.0,286.9,296.1,287.0,241.7,,313.9,227.0,234.0,348.0,262.8,305.0,238.5,234.0,254.9,,-35.6,301.0,3.0,81.0,-38.3,144.3,5.7,,7.7,-25.0,0.9,10.1,1.0,-44.3,,27.9,-59.0,-52.0,62.0,-23.2,19.0,-47.5,-52.0,-31.1,,False,True,False,False,False,True,,True,True,True,True,True,False,,True,False,False,False,True,True,False,False,True,
California,6334,6433.3,6207.8,9132.0,6651.0,7488.0,6324.5,8238.3,6832.0,,6599.7,6427.0,8015.1,6473.6,6881.0,6238.6,,6427.1,6191.5,6243.0,6324.0,6169.8,6487.0,6519.8,6333.0,6472.1,6708.0,99.3,2798.0,317.0,1154.0,-9.5,1904.3,498.0,,265.7,93.0,1681.1,139.6,547.0,-95.4,,93.1,-142.5,-91.0,-10.0,-164.2,153.0,185.8,-1.0,138.1,374.0,False,False,False,True,False,False,,False,True,False,False,False,True,,True,False,True,True,False,False,False,True,False,False
Colorado,1701,1800.9,1766.6,2168.0,1769.3,1736.0,1796.0,1760.9,,,2028.6,1726.0,1777.9,1722.5,1729.0,1785.8,,1742.3,1768.0,1860.0,1741.0,1749.8,1706.0,1737.2,1749.0,1819.5,,99.9,467.0,68.3,35.0,95.0,59.9,,,327.6,25.0,76.9,21.5,28.0,84.8,,41.3,67.0,159.0,40.0,48.8,5.0,36.2,48.0,118.5,,False,True,True,True,True,,,False,True,True,True,True,True,,True,True,False,True,True,True,True,True,False,
Connecticut,4335,4572.4,4509.6,5158.0,4440.5,4329.0,4523.9,4350.4,4461.3,,4302.9,4428.0,4618.2,4512.4,4362.0,4494.1,,4444.5,4422.0,4447.0,4372.0,4463.5,4419.0,4297.8,4416.5,4494.0,4592.0,237.4,823.0,105.5,-6.0,188.9,15.4,126.3,,-32.1,93.0,283.2,177.4,27.0,159.1,,109.5,87.0,112.0,37.0,128.5,84.0,-37.2,81.5,159.0,257.0,False,True,True,True,True,True,,True,True,False,True,True,True,,True,True,True,True,True,True,True,True,True,False
Delaware,512,490.6,479.0,652.0,477.8,460.0,481.5,464.2,545.8,,467.5,471.0,527.6,464.4,456.0,483.5,,461.6,465.0,490.0,470.0,472.0,460.0,461.3,486.0,484.9,,-21.4,140.0,-34.2,-52.0,-30.5,-47.8,33.8,,-44.5,-41.0,15.6,-47.6,-56.0,-28.5,,-50.4,-47.0,-22.0,-42.0,-40.0,-52.0,-50.7,-26.0,-27.1,,False,False,False,False,False,False,,False,False,True,False,False,False,,False,False,False,False,False,False,False,False,False,
District of Columbia,557,589.3,576.7,738.0,566.4,558.0,589.1,600.5,579.7,,562.9,613.0,571.4,557.6,553.0,,,560.6,534.0,550.0,555.0,574.3,559.0,551.4,559.0,572.7,,32.3,181.0,9.4,1.0,32.1,43.5,22.7,,5.9,56.0,14.4,0.6,-4.0,,,3.6,-23.0,-7.0,-2.0,17.3,2.0,-5.6,2.0,15.7,,False,True,True,True,False,True,,True,False,True,True,True,,,True,True,True,True,True,True,True,True,True,
Florida,3702,3591.0,3479.4,5458.0,3886.3,5258.0,3845.6,3616.0,,,3952.5,3849.0,4102.6,4187.4,3860.0,3417.3,,4082.9,3485.5,3637.0,3691.0,3625.3,4252.0,3753.4,3706.5,3708.6,3820.0,-111.0,1756.0,184.3,1556.0,143.6,-86.0,,,250.5,147.0,400.6,485.4,158.0,-284.7,,380.9,-216.5,-65.0,-11.0,-76.7,550.0,51.4,4.5,6.6,118.0,False,False,False,False,True,,,False,False,False,False,False,False,,False,False,True,True,True,False,True,True,True,False
