,actual_deaths,Baseline,Baseline_0.98,IHME-CurveFit,IowaStateLW-STEM,error-Baseline,error-IHME,error-IowaStateLW,beat_baseline-IHME,beat_baseline-IowaStateLW
Alabama,838,706.1,516.1,309.1,329.0,-131.9,-528.9,-509.0,False,False
Alaska,12,9.0,9.0,,,-3.0,,,False,False
Arizona,1346,990.0,711.0,763.7,588.0,-356.0,-582.3,-758.0,False,False
Arkansas,224,145.3,108.5,163.8,166.0,-78.7,-60.2,-58.0,True,True
California,5494,6030.7,4350.8,2035.4,3434.0,536.7,-3458.6,-2060.0,False,False
Colorado,1647,2793.7,1972.1,1052.3,1388.0,1146.7,-594.7,-259.0,True,True
Connecticut,4251,8186.1,5742.9,3366.5,3479.0,3935.1,-884.5,-772.0,True,True
Delaware,434,536.4,374.0,156.6,453.0,102.4,-277.4,19.0,False,True
District of Columbia,531,822.3,570.9,255.2,448.0,291.3,-275.8,-83.0,True,True
Florida,3144,3440.0,2517.3,1920.9,2080.0,296.0,-1223.1,-1064.0,False,False
Georgia,2642,2715.3,2013.3,2258.2,1586.0,73.3,-383.8,-1056.0,False,False
Hawaii,17,45.4,33.2,22.7,,28.4,5.7,,True,False
Idaho,89,150.3,113.5,66.0,102.0,61.3,-23.0,13.0,True,True
Illinois,6625,6985.1,5014.0,2292.2,4600.0,360.1,-4332.8,-2025.0,False,False
Indiana,2536,2785.1,2015.7,1017.9,1439.0,249.1,-1518.1,-1097.0,False,False
Iowa,681,455.9,324.0,329.1,445.0,-225.1,-351.9,-236.0,False,False
Kansas,256,341.0,255.2,353.9,555.0,85.0,97.9,299.0,False,False
Kentucky,524,695.1,505.1,516.6,329.0,171.1,-7.4,-195.0,True,False
Louisiana,3104,5131.1,3803.7,2032.5,2957.0,2027.1,-1071.5,-147.0,True,True
Maine,102,175.7,126.7,66.5,69.0,73.7,-35.5,-33.0,True,True
Maryland,3052,4437.9,3061.4,1196.5,1967.0,1385.9,-1855.5,-1085.0,False,True
Massachusetts,7827,12272.6,8615.3,5633.2,6424.0,4445.6,-2193.8,-1403.0,True,True
Michigan,6087,11000.7,8076.2,3818.1,5089.0,4913.7,-2268.9,-998.0,True,True
Minnesota,1404,1356.3,933.2,728.4,473.0,-47.7,-675.6,-931.0,False,False
Mississippi,938,761.3,552.8,380.0,325.0,-176.7,-558.0,-613.0,False,False
Missouri,965,1411.1,1006.5,637.5,546.0,446.1,-327.5,-419.0,True,True
Montana,20,45.4,33.2,26.8,19.0,25.4,6.8,-1.0,True,True
Nebraska,244,276.0,190.2,377.8,494.0,32.0,133.8,250.0,False,False
Nevada,486,583.1,436.0,259.4,518.0,97.1,-226.6,32.0,False,True
New Hampshire,339,232.9,165.4,71.6,119.0,-106.1,-267.4,-220.0,False,False
New Jersey,12924,18320.9,13489.5,7051.0,12443.0,5396.9,-5873.0,-481.0,False,True
New Mexico,466,444.7,309.8,210.0,189.0,-21.3,-256.0,-277.0,False,False
New York,31083,51238.3,39935.5,24087.6,30829.0,20155.3,-6995.4,-254.0,True,True
North Carolina,1215,1298.3,918.2,375.4,521.0,83.3,-839.6,-694.0,False,False
North Dakota,76,79.9,55.3,246.2,49.0,3.9,170.2,-27.0,False,False
Ohio,2697,2747.3,1959.4,835.5,1572.0,50.3,-1861.5,-1125.0,False,False
Oklahoma,368,627.1,458.5,,299.0,259.1,,-69.0,False,True
Oregon,188,233.4,178.2,124.8,148.0,45.4,-63.2,-40.0,False,True
Pennsylvania,6419,6058.9,4403.4,2318.2,3909.0,-360.1,-4100.8,-2510.0,False,False
Rhode Island,894,823.1,590.2,594.2,806.0,-70.9,-299.8,-88.0,False,False
South Carolina,644,598.3,432.7,350.7,366.0,-45.7,-293.3,-278.0,False,False
South Dakota,81,42.4,30.2,43.8,197.0,-38.6,-37.2,116.0,True,False
Tennessee,524,440.3,339.1,247.5,1074.0,-83.7,-276.5,550.0,False,False
Texas,2183,1916.0,1422.4,1447.2,2240.0,-267.0,-735.8,57.0,False,True
Utah,155,151.0,108.1,418.9,229.0,-4.0,263.9,74.0,False,False
Vermont,56,108.9,84.3,54.2,53.0,52.9,-1.8,-3.0,True,True
Virginia,1607,1800.4,1273.1,633.8,1275.0,193.4,-973.2,-332.0,False,False
Washington,1265,1636.9,1290.4,859.8,1254.0,371.9,-405.2,-11.0,False,True
West Virginia,88,159.7,110.7,38.4,233.0,71.7,-49.6,145.0,True,False
Wisconsin,744,680.6,521.2,331.1,458.0,-63.4,-412.9,-286.0,False,False
Wyoming,20,46.3,31.0,64.2,13.0,26.3,44.2,-7.0,False,True
US,119719,165272.0,122311.0,72835.4,,45553.0,-46883.6,,False,False
