,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,UCLA-SuEIR,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-UCLA-SuEIR,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-UCLA-SuEIR
Alabama,4872,3387.9,3055.1,5625.7,3615.0,3208.6,-1484.1,-1816.9,753.7,-1257.0,-1663.4,False,True,True,False
Alaska,215,208.4,121.0,47.4,,87.3,-6.6,-94.0,-167.6,,-127.7,False,False,,False
Arizona,9061,7646.1,6958.8,9529.2,6870.0,6912.1,-1414.9,-2102.2,468.2,-2191.0,-2148.9,False,True,False,False
Arkansas,3729,3067.9,3862.1,3270.0,2209.0,2264.3,-661.1,133.1,-459.0,-1520.0,-1464.7,True,True,False,False
California,26542,23781.7,19753.6,43774.1,19958.0,20726.5,-2760.3,-6788.4,17232.1,-6584.0,-5815.5,False,False,False,False
Colorado,4912,2415.1,2742.6,3721.5,2336.0,2219.4,-2496.9,-2169.4,-1190.5,-2576.0,-2692.6,True,True,False,False
Connecticut,6099,4625.7,4621.0,6990.7,4614.0,4574.9,-1473.3,-1478.0,891.7,-1485.0,-1524.1,False,True,False,False
Delaware,930,799.3,774.0,1081.4,701.0,698.6,-130.7,-156.0,151.4,-229.0,-231.4,False,False,False,False
District of Columbia,792,679.4,655.8,835.0,642.0,655.5,-112.6,-136.2,43.0,-150.0,-136.5,False,True,False,False
Florida,21890,24230.9,19530.9,27013.0,18180.0,19527.8,2340.9,-2359.1,5123.0,-3710.0,-2362.2,False,False,False,False
Georgia,10960,11712.9,8448.9,12284.8,9116.0,9825.4,752.9,-2511.1,1324.8,-1844.0,-1134.6,False,False,False,False
Hawaii,289,298.3,197.8,174.4,,217.8,9.3,-91.2,-114.6,,-71.2,False,False,,False
Idaho,1448,695.6,855.4,1247.1,712.0,711.1,-752.4,-592.6,-200.9,-736.0,-736.9,True,True,True,True
Illinois,18214,11048.3,10264.5,15453.3,10338.0,10506.1,-7165.7,-7949.5,-2760.7,-7876.0,-7707.9,False,True,False,False
Indiana,8410,4605.4,4401.3,7374.3,4452.0,4214.0,-3804.6,-4008.7,-1035.7,-3958.0,-4196.0,False,True,False,False
Iowa,3946,2022.7,1835.0,2354.3,2086.0,2021.2,-1923.3,-2111.0,-1591.7,-1860.0,-1924.8,False,True,True,False
Kansas,2872,1189.3,1371.0,3995.0,1031.0,1114.4,-1682.7,-1501.0,1123.0,-1841.0,-1757.6,True,True,False,False
Kentucky,2698,1794.4,1729.8,4080.1,1713.0,2044.7,-903.6,-968.2,1382.1,-985.0,-653.3,False,False,False,True
Louisiana,7488,6809.1,6214.6,8531.4,6711.0,7339.1,-678.9,-1273.4,1043.4,-777.0,-148.9,False,False,False,True
Maine,358,153.9,188.5,235.4,257.0,150.3,-204.1,-169.5,-122.6,-101.0,-207.7,True,True,True,False
Maryland,5967,4711.0,4287.2,5451.9,4507.0,4229.8,-1256.0,-1679.8,-515.1,-1460.0,-1737.2,False,True,False,False
Massachusetts,12502,10706.6,10747.2,13309.0,9928.0,9844.0,-1795.4,-1754.8,807.0,-2574.0,-2658.0,True,True,False,False
Michigan,13306,8083.3,7760.9,9816.1,8150.0,7600.7,-5222.7,-5545.1,-3489.9,-5156.0,-5705.3,False,True,True,False
Minnesota,5436,2655.9,2660.6,5170.0,2869.0,2912.2,-2780.1,-2775.4,-266.0,-2567.0,-2523.8,True,True,True,True
Mississippi,4840,4429.4,3749.7,4964.9,3873.0,3981.7,-410.6,-1090.3,124.9,-967.0,-858.3,False,True,False,False
Missouri,5717,5198.6,3694.5,5836.3,2624.0,3090.9,-518.4,-2022.5,119.3,-3093.0,-2626.1,False,True,False,False
Montana,971,394.7,708.5,720.5,392.0,306.7,-576.3,-262.5,-250.5,-579.0,-664.3,True,True,False,False
Nebraska,1669,858.0,846.4,1829.4,778.0,600.3,-811.0,-822.6,160.4,-891.0,-1068.7,False,True,False,False
Nevada,3148,2333.3,2216.3,3584.8,2032.0,2559.1,-814.7,-931.7,436.8,-1116.0,-588.9,False,True,False,True
New Hampshire,769,452.9,474.1,699.9,470.0,478.0,-316.1,-294.9,-69.1,-299.0,-291.0,True,True,True,True
New Jersey,19187,16646.4,16546.8,23643.3,16463.0,16398.6,-2540.6,-2640.2,4456.3,-2724.0,-2788.4,False,False,False,False
New Mexico,2534,1161.0,1166.6,1752.0,1116.0,1006.4,-1373.0,-1367.4,-782.0,-1418.0,-1527.6,True,True,False,False
New York,38273,33740.7,33447.1,38062.6,33494.0,33475.4,-4370.3,-4663.9,-48.4,-4617.0,-4635.6,False,True,False,False
North Carolina,6892,6184.7,5902.4,10529.8,5609.0,5059.0,-707.3,-989.6,3637.8,-1283.0,-1833.0,False,False,False,False
North Dakota,1310,771.4,714.3,589.3,434.0,333.2,-538.6,-595.7,-720.7,-876.0,-976.8,False,False,False,False
Ohio,9017,6487.0,6266.2,10413.5,5946.0,6119.7,-2530.0,-2750.8,1396.5,-3071.0,-2897.3,False,True,False,False
Oklahoma,2527,1837.4,1781.1,3012.9,1673.0,1701.7,-689.6,-745.9,485.9,-854.0,-825.3,False,True,False,False
Oregon,1492,778.6,824.2,1223.5,760.0,829.7,-713.4,-667.8,-268.5,-732.0,-662.3,True,True,False,True
Pennsylvania,16179,9832.0,9564.1,14047.6,9408.0,8794.5,-6347.0,-6614.9,-2131.4,-6771.0,-7384.5,False,True,False,False
Rhode Island,1777,1370.3,1346.7,1897.7,1199.0,1197.2,-406.7,-430.3,120.7,-578.0,-579.8,False,True,False,False
South Carolina,5385,5085.9,4672.9,6512.0,4308.0,4772.8,-299.1,-712.1,1127.0,-1077.0,-612.2,False,False,False,False
South Dakota,1501,439.7,489.0,748.7,384.0,283.9,-1061.3,-1012.0,-752.3,-1117.0,-1217.1,True,True,False,False
Tennessee,6970,4580.3,4196.8,6767.5,3924.0,4399.9,-2389.7,-2773.2,-202.5,-3046.0,-2570.1,False,True,False,False
Texas,28338,24849.1,23938.3,33532.4,23014.0,22153.3,-3412.9,-4323.7,5270.4,-5248.0,-6108.7,False,False,False,False
Utah,1294,633.1,1100.8,624.4,636.0,665.3,-660.9,-193.2,-669.6,-658.0,-628.7,True,False,True,True
