,actual_deaths,Baseline,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,GT-DeepCOVID,GT_CHHS-COVID19,IHME-CurveFit,IowaStateLW-STEM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,MOBS-GLEAM_COVID,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RobertWalraven-ESG,STH-3PU,UA-EpiCovDA,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UT-Mobility,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RobertWalraven-ESG,error-STH-3PU,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UT-Mobility,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
Alabama,1896,1927.3,1428.0,1973.7,2048.0,1827.0,,1811.8,2142.0,2151.3,,1665.8,1720.0,2136.0,1375.2,1819.1,1489.0,1897.3,2161.7,,1947.6,2376.2,2584.0,,0.0,,1807.0,1853.9,2193.0,1789.2,2283.4,2472.4,2315.0,2081.7,1924.0,31.3,-468.0,77.7,152.0,-69.0,,-84.2,246.0,255.3,,-230.2,-176.0,240.0,-520.8,-76.9,-407.0,1.3,265.7,,51.6,480.2,688.0,,-1896.0,,-89.0,-42.1,297.0,-106.8,387.4,576.4,419.0,185.7,28.0,False,False,False,False,,False,False,False,,False,False,False,False,False,False,True,False,,False,False,False,,False,,False,False,False,False,False,False,False,False,True
Alaska,28,21.9,21.0,22.0,32.0,17.0,,39.2,32.0,25.9,,22.5,,67.4,19.6,27.6,19.5,31.1,24.6,,35.6,23.5,34.0,,24.7,,42.0,22.9,35.0,,33.6,37.1,40.0,22.3,,-6.1,-7.0,-6.0,4.0,-11.0,,11.2,4.0,-2.1,,-5.5,,39.4,-8.4,-0.4,-8.5,3.1,-3.4,,7.6,-4.5,6.0,,-3.3,,14.0,-5.1,7.0,,5.6,9.1,12.0,-5.7,,False,True,True,False,,False,True,True,,True,,False,False,True,False,True,True,,False,True,True,,True,,False,True,False,,True,False,False,True,
Arizona,4492,4782.1,3178.0,5046.1,4813.0,3943.0,,4170.2,4343.0,5144.9,,3664.0,4437.0,4182.3,3307.3,3961.8,3249.6,2635.2,5710.7,,5022.6,5144.9,6155.5,,11513.8,,4168.0,4385.5,4304.0,5382.1,7120.5,4785.8,6558.5,4505.2,4769.0,290.1,-1314.0,554.1,321.0,-549.0,,-321.8,-149.0,652.9,,-828.0,-55.0,-309.7,-1184.7,-530.2,-1242.4,-1856.8,1218.7,,530.6,652.9,1663.5,,7021.8,,-324.0,-106.5,-188.0,890.1,2628.5,293.8,2066.5,13.2,277.0,False,False,False,False,,False,True,False,,False,True,False,False,False,False,False,False,,False,False,False,,False,,False,True,True,False,False,False,False,True,True
Arkansas,600,495.9,419.0,509.0,543.0,549.0,,602.1,566.0,584.5,,468.6,454.0,830.4,376.3,459.0,404.7,470.7,555.0,,534.5,547.5,565.0,,,,492.0,465.0,514.0,537.2,703.0,535.5,544.0,524.5,,-104.1,-181.0,-91.0,-57.0,-51.0,,2.1,-34.0,-15.5,,-131.4,-146.0,230.4,-223.7,-141.0,-195.3,-129.3,-45.0,,-65.5,-52.5,-35.0,,,,-108.0,-135.0,-86.0,-62.8,103.0,-64.5,-56.0,-75.5,,False,True,True,True,,True,True,True,,False,False,False,False,False,False,False,True,,True,True,True,,,,False,False,True,True,True,True,True,True,
California,11218,10276.1,8470.0,10402.8,10699.0,9944.0,,11022.0,11926.0,11424.7,,12274.7,10598.0,12760.9,8073.5,9147.8,8429.3,11681.4,12380.5,,9581.2,10973.0,10158.0,,7782.9,,10646.0,10095.4,10366.0,9997.8,14858.8,10975.1,11558.5,10389.7,10098.0,-941.9,-2748.0,-815.2,-519.0,-1274.0,,-196.0,708.0,206.7,,1056.7,-620.0,1542.9,-3144.5,-2070.2,-2788.7,463.4,1162.5,,-1636.8,-245.0,-1060.0,,-3435.1,,-572.0,-1122.6,-852.0,-1220.2,3640.8,-242.9,340.5,-828.3,-1120.0,False,True,True,False,,True,True,True,,False,True,False,False,False,False,True,False,,False,True,False,,False,,True,False,True,False,False,True,True,True,False
Colorado,1896,1856.1,1787.0,1872.7,1915.0,1847.0,,1921.1,1902.0,,,1856.8,1878.0,2003.4,1804.6,1855.3,1784.7,2003.3,2190.4,,1873.8,1915.4,1912.0,,999.3,,1926.0,1865.2,1903.0,1828.0,1985.7,2015.4,1843.0,1988.3,,-39.9,-109.0,-23.3,19.0,-49.0,,25.1,6.0,,,-39.2,-18.0,107.4,-91.4,-40.7,-111.3,107.3,294.4,,-22.2,19.4,16.0,,-896.7,,30.0,-30.8,7.0,-68.0,89.7,119.4,-53.0,92.3,,False,True,True,False,,True,True,,,True,True,False,False,False,False,False,False,,True,True,True,,False,,True,True,True,False,False,False,False,False,
Connecticut,4453,4581.1,4416.0,4633.5,4500.0,4450.0,,4441.9,4414.0,4605.5,,4404.5,4507.0,4524.9,4404.3,4501.0,4406.8,4428.1,4520.6,,4428.4,4524.0,4538.0,,4757.0,,4438.0,4525.6,4469.0,4494.3,4536.7,4486.5,4486.5,4471.7,,128.1,-37.0,180.5,47.0,-3.0,,-11.1,-39.0,152.5,,-48.5,54.0,71.9,-48.7,48.0,-46.2,-24.9,67.6,,-24.6,71.0,85.0,,304.0,,-15.0,72.6,16.0,41.3,83.7,33.5,33.5,18.7,,True,False,True,True,,True,True,False,,True,True,True,True,True,True,True,True,,True,True,True,,False,,True,True,True,True,True,True,True,True,
Delaware,593,546.1,523.0,554.7,558.0,537.0,,587.8,570.0,,,534.6,556.0,608.8,525.2,551.9,527.7,575.6,563.7,,530.2,552.5,603.5,,811.0,,535.0,554.0,546.0,571.7,615.9,539.2,537.0,562.9,,-46.9,-70.0,-38.3,-35.0,-56.0,,-5.2,-23.0,,,-58.4,-37.0,15.8,-67.8,-41.1,-65.3,-17.4,-29.3,,-62.8,-40.5,10.5,,218.0,,-58.0,-39.0,-47.0,-21.3,22.9,-53.8,-56.0,-30.1,,False,True,True,False,,True,True,,,False,True,True,False,True,False,True,True,,False,True,True,,False,,False,True,False,True,True,False,False,True,
District of Columbia,597,616.6,578.0,619.5,616.0,604.0,,591.5,604.0,632.1,,615.4,615.0,622.4,585.8,631.2,583.9,573.0,,,595.6,633.3,644.0,,0.0,,622.0,610.5,628.0,,643.0,650.0,605.0,610.9,,19.6,-19.0,22.5,19.0,7.0,,-5.5,7.0,35.1,,18.4,18.0,25.4,-11.2,34.2,-13.1,-24.0,,,-1.4,36.3,47.0,,-597.0,,25.0,13.5,31.0,,46.0,53.0,8.0,13.9,,True,False,True,True,,True,True,False,,True,True,False,True,False,True,False,,,True,False,False,,False,,False,True,False,,False,False,True,True,
Florida,9345,7836.3,5804.0,7687.5,9084.0,8850.0,,10171.2,9610.0,9802.1,,8386.8,8452.0,7788.3,20222.8,7970.3,5936.3,5218.1,8998.1,,7896.1,8581.8,10151.0,,28050.6,,8403.0,7707.4,9144.0,8929.2,16315.1,7921.1,12433.0,8952.3,8113.0,-1508.7,-3541.0,-1657.5,-261.0,-495.0,,826.2,265.0,457.1,,-958.2,-893.0,-1556.7,10877.8,-1374.7,-3408.7,-4126.9,-346.9,,-1448.9,-763.2,806.0,,18705.6,,-942.0,-1637.6,-201.0,-415.8,6970.1,-1423.9,3088.0,-392.7,-1232.0,False,False,True,True,,True,True,True,,True,True,False,False,True,False,False,True,,True,True,True,,False,,True,False,True,True,False,True,False,True,True
