,2020-07-06_2020-07-11
num_counties,3141
num_counties_with_projections-CDDEP-SEIR_MCMC,24
num_counties_with_projections-COVIDhub-baseline,3141
num_counties_with_projections-CU-select,3139
num_counties_with_projections-Columbia_UNC-SurvCon,0
num_counties_with_projections-Covid19Sim-Simulator,0
num_counties_with_projections-CovidAnalytics-DELPHI,0
num_counties_with_projections-Geneva-DetGrowth,0
num_counties_with_projections-IowaStateLW-STEM,3103
num_counties_with_projections-JHU_IDD-CovidSP,3139
num_counties_with_projections-LANL-GrowthRate,2948
num_counties_with_projections-MITCovAlliance-SIR,1454
num_counties_with_projections-OliverWyman-Navigator,2688
num_counties_with_projections-RobertWalraven-ESG,0
num_counties_with_projections-UCLA-SuEIR,627
num_counties_with_projections-UMich-RidgeTfReg,0
num_counties_with_projections-USACE-ERDC_SEIR,0
num_counties_with_projections-USC-SI_kJalpha,2727
num_counties_beat_baseline-CDDEP-SEIR_MCMC,9
num_counties_beat_baseline-CU-select,1029
num_counties_beat_baseline-Columbia_UNC-SurvCon,
num_counties_beat_baseline-Covid19Sim-Simulator,
num_counties_beat_baseline-CovidAnalytics-DELPHI,
num_counties_beat_baseline-Geneva-DetGrowth,
num_counties_beat_baseline-IowaStateLW-STEM,1182
num_counties_beat_baseline-JHU_IDD-CovidSP,1155
num_counties_beat_baseline-LANL-GrowthRate,655
num_counties_beat_baseline-MITCovAlliance-SIR,405
num_counties_beat_baseline-OliverWyman-Navigator,1273
num_counties_beat_baseline-RobertWalraven-ESG,
num_counties_beat_baseline-UCLA-SuEIR,306
num_counties_beat_baseline-UMich-RidgeTfReg,
num_counties_beat_baseline-USACE-ERDC_SEIR,
num_counties_beat_baseline-USC-SI_kJalpha,1098
perc_beat_baseline-CDDEP-SEIR_MCMC,0.375
perc_beat_baseline-CU-select,0.3278114049
perc_beat_baseline-Columbia_UNC-SurvCon,
perc_beat_baseline-Covid19Sim-Simulator,
perc_beat_baseline-CovidAnalytics-DELPHI,
perc_beat_baseline-Geneva-DetGrowth,
perc_beat_baseline-IowaStateLW-STEM,0.3809216887
perc_beat_baseline-JHU_IDD-CovidSP,0.3679515769
perc_beat_baseline-LANL-GrowthRate,0.2221845319
perc_beat_baseline-MITCovAlliance-SIR,0.2785419532
perc_beat_baseline-OliverWyman-Navigator,0.4735863095
perc_beat_baseline-RobertWalraven-ESG,
perc_beat_baseline-UCLA-SuEIR,0.4880382775
perc_beat_baseline-UMich-RidgeTfReg,
perc_beat_baseline-USACE-ERDC_SEIR,
perc_beat_baseline-USC-SI_kJalpha,0.402640264
mean_abs_error-CDDEP-SEIR_MCMC,
mean_abs_error-COVIDhub-baseline,36.00764088
mean_abs_error-CU-select,
mean_abs_error-Columbia_UNC-SurvCon,
mean_abs_error-Covid19Sim-Simulator,
mean_abs_error-CovidAnalytics-DELPHI,
mean_abs_error-Geneva-DetGrowth,
mean_abs_error-IowaStateLW-STEM,
mean_abs_error-JHU_IDD-CovidSP,
mean_abs_error-LANL-GrowthRate,
mean_abs_error-MITCovAlliance-SIR,
mean_abs_error-OliverWyman-Navigator,
mean_abs_error-RobertWalraven-ESG,
mean_abs_error-UCLA-SuEIR,
mean_abs_error-UMich-RidgeTfReg,
mean_abs_error-USACE-ERDC_SEIR,
mean_abs_error-USC-SI_kJalpha,
