,mean_rank
USC-SI_kJalpha_RF,6.7
LNQ-ens1,6.8
CU-select,8.2
LANL-GrowthRate,8.7
JHU_CSSE-DECOM,9.2
Google_Harvard-CPF,9.4
RobertWalraven-ESG,9.7
DDS-NBDS,9.8
Karlen-pypm,10.3
COVIDhub-ensemble,10.9
JHU_UNC_GAS-StatMechPool,11.0
MSRA-DeepST,11.0
UCSB-ACTS,13.6
BPagano-RtDriven,13.7
JHUAPL-Bucky,14.1
COVIDhub-baseline,14.5
CEID-Walk,14.6
JCB-PRM,15.2
IowaStateLW-STEM,16.1
Covid19Sim-Simulator,16.2
USC-SI_kJalpha,17.1
UMich-RidgeTfReg,17.4
TTU-squider,18.4
UCLA-SuEIR,20.5
CovidAnalytics-DELPHI,21.8
