,count,mean,median,std,min,25%,75%,max
LNQ-ens1,3141,25.9,6.5,93.5,0.0,1.9,17.6,2150.8
COVIDhub-ensemble,3141,27.5,6.0,102.6,0.0,2.0,18.0,2750.0
OliverWyman-Navigator,2413,27.5,7.0,101.0,0.0,2.3,19.0,2071.0
LANL-GrowthRate,2951,31.0,9.7,91.4,0.0,2.7,25.9,2175.6
COVIDhub-baseline,3141,31.2,7.0,147.1,0.0,2.0,19.0,5796.0
CEID-Walk,3141,31.5,7.0,143.4,0.0,2.1,19.8,5649.9
UCLA-SuEIR,2820,31.9,7.0,144.9,0.0,2.2,19.6,5222.6
USC-SI_kJalpha,2781,34.8,8.0,168.1,0.0,2.0,21.0,5347.0
CU-select,3097,34.8,8.0,142.5,0.0,3.0,23.0,4314.0
RobertWalraven-ESG,3141,36.7,8.3,119.8,0.0,2.3,26.0,2611.5
JHU_IDD-CovidSP,3139,38.3,9.9,100.3,0.0,2.8,30.8,1383.7
UVA-Ensemble,2781,44.8,7.5,219.1,0.0,2.3,23.7,6603.1
IowaStateLW-STEM,3103,48.1,8.0,241.9,0.0,3.0,27.0,6374.0
