,mean_rank
COVIDhub-ensemble,8.2
OliverWyman-Navigator,8.5
UMass-MechBayes,9.0
USC-SI_kJalpha,10.6
YYG-ParamSearch,10.6
LANL-GrowthRate,10.7
COVIDhub-baseline,11.6
UCLA-SuEIR,11.6
NotreDame-mobility,11.6
USACE-ERDC_SEIR,11.9
UT-Mobility,12.1
Auquan-SEIR,12.4
UA-EpiCovDA,12.8
MOBS-GLEAM_COVID,13.0
IHME-CurveFit,13.1
IowaStateLW-STEM,13.7
Covid19Sim-Simulator,13.7
CovidAnalytics-DELPHI,14.1
CU-select,15.0
PSI-DRAFT,15.2
RobertWalraven-ESG,15.2
JHU_IDD-CovidSP,16.2
CovidActNow-SEIR_CAN,17.3
GT-DeepCOVID,18.3
MITCovAlliance-SIR,18.4
