,actual_deaths,Baseline,YYG-ParamSearch,IHME-CurveFIt,error-Baseline,error-YYG,error-IHME,beat_baseline-YYG,beat_baseline-IHME
Argentina,4523,2096.0,2584.0,,-2427.0,-1939.0,,True,
Austria,721,724.3,720.0,,3.3,-1.0,,True,
Belgium,9870,10085.3,9987.0,,215.3,117.0,,True,
Bolivia,3587,1843.1,2863.0,,-1743.9,-724.0,,True,
Brazil,100477,96609.0,90159.0,,-3868.0,-10318.0,,False,
Bulgaria,445,268.6,390.0,,-176.4,-55.0,,True,
Canada,9024,10681.1,10385.0,,1657.1,1361.0,,True,
Chile,10011,11832.3,14247.0,,1821.3,4236.0,,False,
Colombia,12540,5163.7,7805.0,,-7376.3,-4735.0,,True,
Croatia,157,130.1,127.0,,-26.9,-30.0,,False,
Cuba,88,91.7,94.0,,3.7,6.0,,False,
Cyprus,19,18.0,20.0,,-1.0,1.0,,False,
Czechia,389,345.4,355.0,,-43.6,-34.0,,True,
Denmark,617,636.6,659.0,,19.6,42.0,,False,
Dominican Republic,1289,1114.1,893.0,,-174.9,-396.0,,False,
Ecuador,5916,6143.0,5347.0,,227.0,-569.0,,False,
Egypt,4992,4765.4,4769.0,,-226.6,-223.0,,True,
Estonia,63,69.0,76.0,,6.0,13.0,,False,
Finland,331,349.1,360.0,,18.1,29.0,,False,
France,30327,31190.1,30444.0,,863.1,117.0,,True,
Germany,9201,9671.0,9940.0,,470.0,739.0,,False,
Greece,211,199.4,205.0,,-11.6,-6.0,,True,
Honduras,1476,784.9,896.0,,-691.1,-580.0,,True,
Hungary,602,678.7,719.0,,76.7,117.0,,False,
Iceland,10,10.0,11.0,,0.0,1.0,,False,
Ireland,1772,1883.4,1805.0,,111.4,33.0,,True,
Israel,593,332.9,344.0,,-260.1,-249.0,,True,
Italy,35203,37510.7,35581.0,,2307.7,378.0,,True,
Japan,1042,998.4,1093.0,,-43.6,51.0,,False,
Latvia,32,43.4,32.0,,11.4,0.0,,True,
Lithuania,81,114.6,104.0,,33.6,23.0,,True,
Luxembourg,120,110.0,118.0,,-10.0,-2.0,,True,
Malaysia,125,151.9,139.0,,26.9,14.0,,True,
Mexico,52006,44788.3,52657.0,,-7217.7,651.0,,True,
Moldova,841,858.4,1196.0,,17.4,355.0,,False,
Netherlands,6178,6462.0,6547.0,,284.0,369.0,,False,
Norway,256,265.1,260.0,,9.1,4.0,,True,
Panama,1609,833.7,872.0,,-775.3,-737.0,,True,
Peru,20649,16803.7,17085.0,,-3845.3,-3564.0,,True,
Philippines,2209,1769.1,1685.0,,-439.9,-524.0,,False,
Poland,1800,1950.3,2120.0,,150.3,320.0,,False,
Portugal,1750,1790.0,1837.0,,40.0,87.0,,False,
Romania,2659,2105.9,1955.0,,-553.1,-704.0,,False,
Russia,14827,15705.6,16175.0,,878.6,1348.0,,False,
Serbia,632,293.6,296.0,,-338.4,-336.0,,True,
Slovakia,31,28.0,29.0,,-3.0,-2.0,,True,
Slovenia,126,109.0,117.0,,-17.0,-9.0,,True,
South Korea,305,308.9,314.0,,3.9,9.0,,False,
Spain,28503,27136.0,28082.0,,-1367.0,-421.0,,True,
Sweden,5763,6410.7,5942.0,,647.7,179.0,,True,
Switzerland,1986,2062.4,2027.0,,76.4,41.0,,True,
Turkey,5829,5704.4,5407.0,,-124.6,-422.0,,False,
Ukraine,1906,1728.7,2224.0,,-177.3,318.0,,False,
United Kingdom,46651,50623.0,46420.0,,3972.0,-231.0,,True,
