,mean_abs_error_2020-04-20_2020-06-20,mean_abs_error_2020-04-27_2020-06-20,mean_abs_error_2020-05-04_2020-06-20,mean_abs_error_2020-05-11_2020-06-20,mean_abs_error_2020-05-18_2020-06-20,mean_abs_error_2020-05-25_2020-06-20,mean_abs_error_2020-06-01_2020-06-20,mean_abs_error_2020-06-08_2020-06-20,mean_abs_error_2020-06-15_2020-06-20,mean_sq_abs_error_2020-04-20_2020-06-20,mean_sq_abs_error_2020-04-27_2020-06-20,mean_sq_abs_error_2020-05-04_2020-06-20,mean_sq_abs_error_2020-05-11_2020-06-20,mean_sq_abs_error_2020-05-18_2020-06-20,mean_sq_abs_error_2020-05-25_2020-06-20,mean_sq_abs_error_2020-06-01_2020-06-20,mean_sq_abs_error_2020-06-08_2020-06-20,mean_sq_abs_error_2020-06-15_2020-06-20
UCLA-SuEIR,,,357.7,289.2,140.5,98.3,79.9,56.7,15.7,,,353170.1,781053.2,63980.8,28588.8,17401.8,9092.6,639.1
YYG-ParamSearch,,,221.7,297.1,263.8,141.8,57.6,33.8,12.8,,,195729.1,291053.9,218766.0,60050.0,6879.3,2685.8,440.5
LANL-GrowthRate,,,301.7,207.4,162.6,108.6,81.4,51.9,28.6,,,278895.1,141220.3,90400.1,36556.5,18458.0,9279.2,2395.8
UMass-MechBayes,,,,,,61.4,93.7,33.3,13.3,,,,,,10429.2,22581.3,4021.5,472.5
COVIDhub-ensemble,,,,,,119.0,82.0,41.1,20.3,,,,,,36185.3,17315.6,3944.3,937.8
UT-Mobility,,,,,,128.7,75.2,49.5,27.6,,,,,,55632.0,16819.8,9333.0,3731.8
MOBS-GLEAM_COVID,,,,,,157.9,92.1,61.2,23.1,,,,,,80891.1,20857.6,9352.2,1315.8
Baseline,1209.5,960.4,744.4,594.4,382.9,206.1,104.2,66.5,19.8,23700079.3,9851343.3,4220988.4,2083564.9,871161.0,168613.4,30144.0,18385.1,1427.6
CovidAnalytics-DELPHI,,,,,305.7,154.7,96.9,82.1,37.4,,,,,381806.5,79138.4,29909.1,19571.1,4037.3
IowaStateLW-STEM,,466.3,530.7,,180.0,128.2,129.2,84.0,59.3,,545368.0,957328.0,,109669.6,46468.8,62198.6,21996.6,12438.2
IHME-CurveFit,1069.8,942.1,378.3,243.2,236.0,,123.3,61.5,39.6,3669601.5,3092710.1,464170.4,252095.0,189628.8,,52687.0,8562.8,4437.2
COVIDhub-baseline,,,,,,237.8,114.1,63.3,28.1,,,,,,239031.1,40801.3,15210.3,3029.5
OliverWyman-Navigator,,,,,,,,46.8,17.0,,,,,,,,6633.8,703.7
PSI-DRAFT,,,,,434.4,215.4,122.4,210.9,32.6,,,,,754452.9,234944.0,84181.5,359423.8,7998.4
Covid19Sim-Simulator,,,,,,170.2,159.8,118.3,50.3,,,,,,80427.4,70704.5,38189.4,6812.0
CU-select,,,,654.5,,204.7,207.2,103.5,43.1,,,,1601896.7,,133436.2,197409.9,32391.2,5512.5
UA-EpiCovDA,,,,,,288.5,202.2,167.3,24.9,,,,,,209945.0,91523.4,90766.5,1456.7
USACE-ERDC_SEIR,,,,,289.9,196.9,218.3,151.8,111.8,,,,,290583.1,155624.6,213684.1,105443.2,45695.1
CovidActNow-SEIR_CAN,,,,,,,146.6,113.4,55.9,,,,,,,60480.7,30944.9,10940.9
SWC-TerminusCM,,,,,,,129.5,101.5,152.6,,,,,,,66875.1,28087.2,799660.3
JHU_IDD-CovidSP,,,,,,435.9,249.3,132.2,39.5,,,,,,493844.9,150736.7,46452.2,4804.3
Auquan-SEIR,,,,,,365.0,363.4,525.0,322.4,,,,,,653492.2,636559.8,800960.7,315898.8
